Datum,Bron,Geslacht,Type,Aantal,AantalCumulatief
2021-02-02,RIVM_report_20210202,Man,Totaal,,456398
2021-02-02,RIVM_report_20210202,Vrouw,Totaal,,528735
2021-02-02,RIVM_report_20210202,Niet vermeld,Totaal,,91
2021-02-02,RIVM_report_20210202,Man,Overleden,,7641
2021-02-02,RIVM_report_20210202,Vrouw,Overleden,,6467
2021-02-02,RIVM_report_20210202,Niet vermeld,Overleden,,0
