Datum,Bron,Geslacht,Type,Aantal,AantalCumulatief
2020-12-01,RIVM_report_20201201,Man,Totaal,,241023
2020-12-01,RIVM_report_20201201,Vrouw,Totaal,,286408
2020-12-01,RIVM_report_20201201,Niet vermeld,Totaal,,92
2020-12-01,RIVM_report_20201201,Man,Overleden,,5194
2020-12-01,RIVM_report_20201201,Vrouw,Overleden,,4244
2020-12-01,RIVM_report_20201201,Niet vermeld,Overleden,,0
