Datum,Bron,Geslacht,Type,Aantal,AantalCumulatief
2020-11-24,RIVM_report_20201124,Man,Totaal,,225343
2020-11-24,RIVM_report_20201124,Vrouw,Totaal,,268309
2020-11-24,RIVM_report_20201124,Niet vermeld,Totaal,,92
2020-11-24,RIVM_report_20201124,Man,Overleden,,4967
2020-11-24,RIVM_report_20201124,Vrouw,Overleden,,4068
2020-11-24,RIVM_report_20201124,Niet vermeld,Overleden,,0
