Datum,Bron,Geslacht,Type,Aantal,AantalCumulatief
2021-01-26,RIVM_report_20210126,Man,Totaal,,442992
2021-01-26,RIVM_report_20210126,Vrouw,Totaal,,513784
2021-01-26,RIVM_report_20210126,Niet vermeld,Totaal,,91
2021-01-26,RIVM_report_20210126,Man,Overleden,,7396
2021-01-26,RIVM_report_20210126,Vrouw,Overleden,,6269
2021-01-26,RIVM_report_20210126,Niet vermeld,Overleden,,0
