Datum,Bron,Geslacht,Type,Aantal,AantalCumulatief
2020-12-29,RIVM_report_20201229,Man,Totaal,,358294
2020-12-29,RIVM_report_20201229,Vrouw,Totaal,,419517
2020-12-29,RIVM_report_20201229,Niet vermeld,Totaal,,91
2020-12-29,RIVM_report_20201229,Man,Overleden,,6141
2020-12-29,RIVM_report_20201229,Vrouw,Overleden,,5071
2020-12-29,RIVM_report_20201229,Niet vermeld,Overleden,,0
