Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-11-17,RIVM_report_20201117,0-4,Totaal,,776.0
2020-11-17,RIVM_report_20201117,5-9,Totaal,,2380.0
2020-11-17,RIVM_report_20201117,10-14,Totaal,,13259.0
2020-11-17,RIVM_report_20201117,15-19,Totaal,,35782.0
2020-11-17,RIVM_report_20201117,20-24,Totaal,,48506.0
2020-11-17,RIVM_report_20201117,25-29,Totaal,,41498.0
2020-11-17,RIVM_report_20201117,30-34,Totaal,,35465.0
2020-11-17,RIVM_report_20201117,35-39,Totaal,,31099.0
2020-11-17,RIVM_report_20201117,40-44,Totaal,,31244.0
2020-11-17,RIVM_report_20201117,45-49,Totaal,,37155.0
2020-11-17,RIVM_report_20201117,50-54,Totaal,,41927.0
2020-11-17,RIVM_report_20201117,55-59,Totaal,,37291.0
2020-11-17,RIVM_report_20201117,60-64,Totaal,,27787.0
2020-11-17,RIVM_report_20201117,65-69,Totaal,,17489.0
2020-11-17,RIVM_report_20201117,70-74,Totaal,,15257.0
2020-11-17,RIVM_report_20201117,75-79,Totaal,,12020.0
2020-11-17,RIVM_report_20201117,80-84,Totaal,,11177.0
2020-11-17,RIVM_report_20201117,85-89,Totaal,,9539.0
2020-11-17,RIVM_report_20201117,90-94,Totaal,,5476.0
2020-11-17,RIVM_report_20201117,95+,Totaal,,1806.0
2020-11-17,RIVM_report_20201117,Niet vermeld,Totaal,,70.0
2020-11-17,RIVM_report_20201117,0-4,Overleden,,0.0
2020-11-17,RIVM_report_20201117,5-9,Overleden,,0.0
2020-11-17,RIVM_report_20201117,10-14,Overleden,,0.0
2020-11-17,RIVM_report_20201117,15-19,Overleden,,2.0
2020-11-17,RIVM_report_20201117,20-24,Overleden,,0.0
2020-11-17,RIVM_report_20201117,25-29,Overleden,,3.0
2020-11-17,RIVM_report_20201117,30-34,Overleden,,4.0
2020-11-17,RIVM_report_20201117,35-39,Overleden,,11.0
2020-11-17,RIVM_report_20201117,40-44,Overleden,,11.0
2020-11-17,RIVM_report_20201117,45-49,Overleden,,36.0
2020-11-17,RIVM_report_20201117,50-54,Overleden,,67.0
2020-11-17,RIVM_report_20201117,55-59,Overleden,,123.0
2020-11-17,RIVM_report_20201117,60-64,Overleden,,214.0
2020-11-17,RIVM_report_20201117,65-69,Overleden,,437.0
2020-11-17,RIVM_report_20201117,70-74,Overleden,,838.0
2020-11-17,RIVM_report_20201117,75-79,Overleden,,1358.0
2020-11-17,RIVM_report_20201117,80-84,Overleden,,1822.0
2020-11-17,RIVM_report_20201117,85-89,Overleden,,2004.0
2020-11-17,RIVM_report_20201117,90-94,Overleden,,1221.0
2020-11-17,RIVM_report_20201117,95+,Overleden,,465.0
2020-11-17,RIVM_report_20201117,Niet vermeld,Overleden,,0.0
