Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2021-01-12,RIVM_report_20210112,0-4,Totaal,,1775.0
2021-01-12,RIVM_report_20210112,5-9,Totaal,,8193.0
2021-01-12,RIVM_report_20210112,10-14,Totaal,,37141.0
2021-01-12,RIVM_report_20210112,15-19,Totaal,,75365.0
2021-01-12,RIVM_report_20210112,20-24,Totaal,,84150.0
2021-01-12,RIVM_report_20210112,25-29,Totaal,,73012.0
2021-01-12,RIVM_report_20210112,30-34,Totaal,,64441.0
2021-01-12,RIVM_report_20210112,35-39,Totaal,,58599.0
2021-01-12,RIVM_report_20210112,40-44,Totaal,,60822.0
2021-01-12,RIVM_report_20210112,45-49,Totaal,,72378.0
2021-01-12,RIVM_report_20210112,50-54,Totaal,,80835.0
2021-01-12,RIVM_report_20210112,55-59,Totaal,,71387.0
2021-01-12,RIVM_report_20210112,60-64,Totaal,,54078.0
2021-01-12,RIVM_report_20210112,65-69,Totaal,,35095.0
2021-01-12,RIVM_report_20210112,70-74,Totaal,,30790.0
2021-01-12,RIVM_report_20210112,75-79,Totaal,,23396.0
2021-01-12,RIVM_report_20210112,80-84,Totaal,,20731.0
2021-01-12,RIVM_report_20210112,85-89,Totaal,,17555.0
2021-01-12,RIVM_report_20210112,90-94,Totaal,,10030.0
2021-01-12,RIVM_report_20210112,95+,Totaal,,3305.0
2021-01-12,RIVM_report_20210112,Niet vermeld,Totaal,,57.0
2021-01-12,RIVM_report_20210112,0-4,Overleden,,1.0
2021-01-12,RIVM_report_20210112,5-9,Overleden,,0.0
2021-01-12,RIVM_report_20210112,10-14,Overleden,,0.0
2021-01-12,RIVM_report_20210112,15-19,Overleden,,2.0
2021-01-12,RIVM_report_20210112,20-24,Overleden,,2.0
2021-01-12,RIVM_report_20210112,25-29,Overleden,,4.0
2021-01-12,RIVM_report_20210112,30-34,Overleden,,6.0
2021-01-12,RIVM_report_20210112,35-39,Overleden,,15.0
2021-01-12,RIVM_report_20210112,40-44,Overleden,,14.0
2021-01-12,RIVM_report_20210112,45-49,Overleden,,50.0
2021-01-12,RIVM_report_20210112,50-54,Overleden,,98.0
2021-01-12,RIVM_report_20210112,55-59,Overleden,,162.0
2021-01-12,RIVM_report_20210112,60-64,Overleden,,288.0
2021-01-12,RIVM_report_20210112,65-69,Overleden,,573.0
2021-01-12,RIVM_report_20210112,70-74,Overleden,,1187.0
2021-01-12,RIVM_report_20210112,75-79,Overleden,,1924.0
2021-01-12,RIVM_report_20210112,80-84,Overleden,,2635.0
2021-01-12,RIVM_report_20210112,85-89,Overleden,,2970.0
2021-01-12,RIVM_report_20210112,90-94,Overleden,,1909.0
2021-01-12,RIVM_report_20210112,95+,Overleden,,723.0
2021-01-12,RIVM_report_20210112,Niet vermeld,Overleden,,
