Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2021-01-05,RIVM_report_20210105,0-4,Totaal,,1630.0
2021-01-05,RIVM_report_20210105,5-9,Totaal,,7545.0
2021-01-05,RIVM_report_20210105,10-14,Totaal,,35427.0
2021-01-05,RIVM_report_20210105,15-19,Totaal,,70853.0
2021-01-05,RIVM_report_20210105,20-24,Totaal,,79004.0
2021-01-05,RIVM_report_20210105,25-29,Totaal,,68934.0
2021-01-05,RIVM_report_20210105,30-34,Totaal,,61153.0
2021-01-05,RIVM_report_20210105,35-39,Totaal,,55760.0
2021-01-05,RIVM_report_20210105,40-44,Totaal,,57894.0
2021-01-05,RIVM_report_20210105,45-49,Totaal,,68807.0
2021-01-05,RIVM_report_20210105,50-54,Totaal,,76359.0
2021-01-05,RIVM_report_20210105,55-59,Totaal,,67320.0
2021-01-05,RIVM_report_20210105,60-64,Totaal,,50914.0
2021-01-05,RIVM_report_20210105,65-69,Totaal,,33016.0
2021-01-05,RIVM_report_20210105,70-74,Totaal,,28960.0
2021-01-05,RIVM_report_20210105,75-79,Totaal,,22009.0
2021-01-05,RIVM_report_20210105,80-84,Totaal,,19416.0
2021-01-05,RIVM_report_20210105,85-89,Totaal,,16516.0
2021-01-05,RIVM_report_20210105,90-94,Totaal,,9397.0
2021-01-05,RIVM_report_20210105,95+,Totaal,,3091.0
2021-01-05,RIVM_report_20210105,Niet vermeld,Totaal,,59.0
2021-01-05,RIVM_report_20210105,0-4,Overleden,,1.0
2021-01-05,RIVM_report_20210105,5-9,Overleden,,0.0
2021-01-05,RIVM_report_20210105,10-14,Overleden,,0.0
2021-01-05,RIVM_report_20210105,15-19,Overleden,,2.0
2021-01-05,RIVM_report_20210105,20-24,Overleden,,1.0
2021-01-05,RIVM_report_20210105,25-29,Overleden,,4.0
2021-01-05,RIVM_report_20210105,30-34,Overleden,,6.0
2021-01-05,RIVM_report_20210105,35-39,Overleden,,15.0
2021-01-05,RIVM_report_20210105,40-44,Overleden,,13.0
2021-01-05,RIVM_report_20210105,45-49,Overleden,,50.0
2021-01-05,RIVM_report_20210105,50-54,Overleden,,96.0
2021-01-05,RIVM_report_20210105,55-59,Overleden,,153.0
2021-01-05,RIVM_report_20210105,60-64,Overleden,,280.0
2021-01-05,RIVM_report_20210105,65-69,Overleden,,556.0
2021-01-05,RIVM_report_20210105,70-74,Overleden,,1106.0
2021-01-05,RIVM_report_20210105,75-79,Overleden,,1827.0
2021-01-05,RIVM_report_20210105,80-84,Overleden,,2475.0
2021-01-05,RIVM_report_20210105,85-89,Overleden,,2779.0
2021-01-05,RIVM_report_20210105,90-94,Overleden,,1780.0
2021-01-05,RIVM_report_20210105,95+,Overleden,,682.0
2021-01-05,RIVM_report_20210105,Niet vermeld,Overleden,,0.0
