Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-11-10,RIVM_report_20201110,0-4,Totaal,,719.0
2020-11-10,RIVM_report_20201110,5-9,Totaal,,2053.0
2020-11-10,RIVM_report_20201110,10-14,Totaal,,11505.0
2020-11-10,RIVM_report_20201110,15-19,Totaal,,32711.0
2020-11-10,RIVM_report_20201110,20-24,Totaal,,45306.0
2020-11-10,RIVM_report_20201110,25-29,Totaal,,38399.0
2020-11-10,RIVM_report_20201110,30-34,Totaal,,32683.0
2020-11-10,RIVM_report_20201110,35-39,Totaal,,28479.0
2020-11-10,RIVM_report_20201110,40-44,Totaal,,28513.0
2020-11-10,RIVM_report_20201110,45-49,Totaal,,34060.0
2020-11-10,RIVM_report_20201110,50-54,Totaal,,38468.0
2020-11-10,RIVM_report_20201110,55-59,Totaal,,34184.0
2020-11-10,RIVM_report_20201110,60-64,Totaal,,25354.0
2020-11-10,RIVM_report_20201110,65-69,Totaal,,15929.0
2020-11-10,RIVM_report_20201110,70-74,Totaal,,14007.0
2020-11-10,RIVM_report_20201110,75-79,Totaal,,11051.0
2020-11-10,RIVM_report_20201110,80-84,Totaal,,10299.0
2020-11-10,RIVM_report_20201110,85-89,Totaal,,8870.0
2020-11-10,RIVM_report_20201110,90-94,Totaal,,5075.0
2020-11-10,RIVM_report_20201110,95+,Totaal,,1674.0
2020-11-10,RIVM_report_20201110,Niet vermeld,Totaal,,73.0
2020-11-10,RIVM_report_20201110,0-4,Overleden,,0.0
2020-11-10,RIVM_report_20201110,5-9,Overleden,,0.0
2020-11-10,RIVM_report_20201110,10-14,Overleden,,0.0
2020-11-10,RIVM_report_20201110,15-19,Overleden,,1.0
2020-11-10,RIVM_report_20201110,20-24,Overleden,,0.0
2020-11-10,RIVM_report_20201110,25-29,Overleden,,3.0
2020-11-10,RIVM_report_20201110,30-34,Overleden,,4.0
2020-11-10,RIVM_report_20201110,35-39,Overleden,,11.0
2020-11-10,RIVM_report_20201110,40-44,Overleden,,10.0
2020-11-10,RIVM_report_20201110,45-49,Overleden,,34.0
2020-11-10,RIVM_report_20201110,50-54,Overleden,,61.0
2020-11-10,RIVM_report_20201110,55-59,Overleden,,118.0
2020-11-10,RIVM_report_20201110,60-64,Overleden,,205.0
2020-11-10,RIVM_report_20201110,65-69,Overleden,,417.0
2020-11-10,RIVM_report_20201110,70-74,Overleden,,805.0
2020-11-10,RIVM_report_20201110,75-79,Overleden,,1286.0
2020-11-10,RIVM_report_20201110,80-84,Overleden,,1722.0
2020-11-10,RIVM_report_20201110,85-89,Overleden,,1888.0
2020-11-10,RIVM_report_20201110,90-94,Overleden,,1150.0
2020-11-10,RIVM_report_20201110,95+,Overleden,,426.0
2020-11-10,RIVM_report_20201110,Niet vermeld,Overleden,,0.0
