Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-12-15,RIVM_report_20201215,0-4,Totaal,,1162.0
2020-12-15,RIVM_report_20201215,5-9,Totaal,,4697.0
2020-12-15,RIVM_report_20201215,10-14,Totaal,,25236.0
2020-12-15,RIVM_report_20201215,15-19,Totaal,,53517.0
2020-12-15,RIVM_report_20201215,20-24,Totaal,,62095.0
2020-12-15,RIVM_report_20201215,25-29,Totaal,,53703.0
2020-12-15,RIVM_report_20201215,30-34,Totaal,,47205.0
2020-12-15,RIVM_report_20201215,35-39,Totaal,,42589.0
2020-12-15,RIVM_report_20201215,40-44,Totaal,,43618.0
2020-12-15,RIVM_report_20201215,45-49,Totaal,,51688.0
2020-12-15,RIVM_report_20201215,50-54,Totaal,,57183.0
2020-12-15,RIVM_report_20201215,55-59,Totaal,,50288.0
2020-12-15,RIVM_report_20201215,60-64,Totaal,,37710.0
2020-12-15,RIVM_report_20201215,65-69,Totaal,,24055.0
2020-12-15,RIVM_report_20201215,70-74,Totaal,,20937.0
2020-12-15,RIVM_report_20201215,75-79,Totaal,,16144.0
2020-12-15,RIVM_report_20201215,80-84,Totaal,,14614.0
2020-12-15,RIVM_report_20201215,85-89,Totaal,,12523.0
2020-12-15,RIVM_report_20201215,90-94,Totaal,,7189.0
2020-12-15,RIVM_report_20201215,95+,Totaal,,2363.0
2020-12-15,RIVM_report_20201215,Niet vermeld,Totaal,,61.0
2020-12-15,RIVM_report_20201215,0-4,Overleden,,0.0
2020-12-15,RIVM_report_20201215,5-9,Overleden,,0.0
2020-12-15,RIVM_report_20201215,10-14,Overleden,,0.0
2020-12-15,RIVM_report_20201215,15-19,Overleden,,2.0
2020-12-15,RIVM_report_20201215,20-24,Overleden,,0.0
2020-12-15,RIVM_report_20201215,25-29,Overleden,,3.0
2020-12-15,RIVM_report_20201215,30-34,Overleden,,6.0
2020-12-15,RIVM_report_20201215,35-39,Overleden,,13.0
2020-12-15,RIVM_report_20201215,40-44,Overleden,,11.0
2020-12-15,RIVM_report_20201215,45-49,Overleden,,43.0
2020-12-15,RIVM_report_20201215,50-54,Overleden,,80.0
2020-12-15,RIVM_report_20201215,55-59,Overleden,,141.0
2020-12-15,RIVM_report_20201215,60-64,Overleden,,247.0
2020-12-15,RIVM_report_20201215,65-69,Overleden,,487.0
2020-12-15,RIVM_report_20201215,70-74,Overleden,,971.0
2020-12-15,RIVM_report_20201215,75-79,Overleden,,1596.0
2020-12-15,RIVM_report_20201215,80-84,Overleden,,2150.0
2020-12-15,RIVM_report_20201215,85-89,Overleden,,2372.0
2020-12-15,RIVM_report_20201215,90-94,Overleden,,1485.0
2020-12-15,RIVM_report_20201215,95+,Overleden,,561.0
2020-12-15,RIVM_report_20201215,Niet vermeld,Overleden,,0.0
