Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-12-08,RIVM_report_20201208,0-4,Totaal,,1013.0
2020-12-08,RIVM_report_20201208,5-9,Totaal,,3737.0
2020-12-08,RIVM_report_20201208,10-14,Totaal,,20745.0
2020-12-08,RIVM_report_20201208,15-19,Totaal,,47296.0
2020-12-08,RIVM_report_20201208,20-24,Totaal,,57729.0
2020-12-08,RIVM_report_20201208,25-29,Totaal,,49708.0
2020-12-08,RIVM_report_20201208,30-34,Totaal,,43343.0
2020-12-08,RIVM_report_20201208,35-39,Totaal,,38817.0
2020-12-08,RIVM_report_20201208,40-44,Totaal,,39455.0
2020-12-08,RIVM_report_20201208,45-49,Totaal,,46840.0
2020-12-08,RIVM_report_20201208,50-54,Totaal,,52237.0
2020-12-08,RIVM_report_20201208,55-59,Totaal,,45923.0
2020-12-08,RIVM_report_20201208,60-64,Totaal,,34279.0
2020-12-08,RIVM_report_20201208,65-69,Totaal,,21806.0
2020-12-08,RIVM_report_20201208,70-74,Totaal,,18951.0
2020-12-08,RIVM_report_20201208,75-79,Totaal,,14789.0
2020-12-08,RIVM_report_20201208,80-84,Totaal,,13493.0
2020-12-08,RIVM_report_20201208,85-89,Totaal,,11456.0
2020-12-08,RIVM_report_20201208,90-94,Totaal,,6605.0
2020-12-08,RIVM_report_20201208,95+,Totaal,,2154.0
2020-12-08,RIVM_report_20201208,Niet vermeld,Totaal,,61.0
2020-12-08,RIVM_report_20201208,0-4,Overleden,,0.0
2020-12-08,RIVM_report_20201208,5-9,Overleden,,0.0
2020-12-08,RIVM_report_20201208,10-14,Overleden,,0.0
2020-12-08,RIVM_report_20201208,15-19,Overleden,,2.0
2020-12-08,RIVM_report_20201208,20-24,Overleden,,0.0
2020-12-08,RIVM_report_20201208,25-29,Overleden,,3.0
2020-12-08,RIVM_report_20201208,30-34,Overleden,,6.0
2020-12-08,RIVM_report_20201208,35-39,Overleden,,13.0
2020-12-08,RIVM_report_20201208,40-44,Overleden,,11.0
2020-12-08,RIVM_report_20201208,45-49,Overleden,,42.0
2020-12-08,RIVM_report_20201208,50-54,Overleden,,76.0
2020-12-08,RIVM_report_20201208,55-59,Overleden,,133.0
2020-12-08,RIVM_report_20201208,60-64,Overleden,,241.0
2020-12-08,RIVM_report_20201208,65-69,Overleden,,474.0
2020-12-08,RIVM_report_20201208,70-74,Overleden,,942.0
2020-12-08,RIVM_report_20201208,75-79,Overleden,,1538.0
2020-12-08,RIVM_report_20201208,80-84,Overleden,,2063.0
2020-12-08,RIVM_report_20201208,85-89,Overleden,,2283.0
2020-12-08,RIVM_report_20201208,90-94,Overleden,,1414.0
2020-12-08,RIVM_report_20201208,95+,Overleden,,534.0
2020-12-08,RIVM_report_20201208,Niet vermeld,Overleden,,0.0
