Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2021-01-19,RIVM_report_20210119,0-4,Totaal,,1978.0
2021-01-19,RIVM_report_20210119,5-9,Totaal,,8812.0
2021-01-19,RIVM_report_20210119,10-14,Totaal,,38415.0
2021-01-19,RIVM_report_20210119,15-19,Totaal,,78228.0
2021-01-19,RIVM_report_20210119,20-24,Totaal,,87592.0
2021-01-19,RIVM_report_20210119,25-29,Totaal,,75975.0
2021-01-19,RIVM_report_20210119,30-34,Totaal,,67110.0
2021-01-19,RIVM_report_20210119,35-39,Totaal,,60972.0
2021-01-19,RIVM_report_20210119,40-44,Totaal,,63127.0
2021-01-19,RIVM_report_20210119,45-49,Totaal,,75207.0
2021-01-19,RIVM_report_20210119,50-54,Totaal,,84533.0
2021-01-19,RIVM_report_20210119,55-59,Totaal,,74934.0
2021-01-19,RIVM_report_20210119,60-64,Totaal,,56755.0
2021-01-19,RIVM_report_20210119,65-69,Totaal,,36785.0
2021-01-19,RIVM_report_20210119,70-74,Totaal,,32251.0
2021-01-19,RIVM_report_20210119,75-79,Totaal,,24556.0
2021-01-19,RIVM_report_20210119,80-84,Totaal,,21801.0
2021-01-19,RIVM_report_20210119,85-89,Totaal,,18435.0
2021-01-19,RIVM_report_20210119,90-94,Totaal,,10581.0
2021-01-19,RIVM_report_20210119,95+,Totaal,,3476.0
2021-01-19,RIVM_report_20210119,Niet vermeld,Totaal,,57.0
2021-01-19,RIVM_report_20210119,0-4,Overleden,,1.0
2021-01-19,RIVM_report_20210119,5-9,Overleden,,0.0
2021-01-19,RIVM_report_20210119,10-14,Overleden,,0.0
2021-01-19,RIVM_report_20210119,15-19,Overleden,,2.0
2021-01-19,RIVM_report_20210119,20-24,Overleden,,2.0
2021-01-19,RIVM_report_20210119,25-29,Overleden,,4.0
2021-01-19,RIVM_report_20210119,30-34,Overleden,,6.0
2021-01-19,RIVM_report_20210119,35-39,Overleden,,15.0
2021-01-19,RIVM_report_20210119,40-44,Overleden,,16.0
2021-01-19,RIVM_report_20210119,45-49,Overleden,,51.0
2021-01-19,RIVM_report_20210119,50-54,Overleden,,100.0
2021-01-19,RIVM_report_20210119,55-59,Overleden,,167.0
2021-01-19,RIVM_report_20210119,60-64,Overleden,,299.0
2021-01-19,RIVM_report_20210119,65-69,Overleden,,596.0
2021-01-19,RIVM_report_20210119,70-74,Overleden,,1235.0
2021-01-19,RIVM_report_20210119,75-79,Overleden,,1999.0
2021-01-19,RIVM_report_20210119,80-84,Overleden,,2771.0
2021-01-19,RIVM_report_20210119,85-89,Overleden,,3119.0
2021-01-19,RIVM_report_20210119,90-94,Overleden,,2015.0
2021-01-19,RIVM_report_20210119,95+,Overleden,,764.0
2021-01-19,RIVM_report_20210119,Niet vermeld,Overleden,,0.0
