Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-12-22,RIVM_report_20201222,0-4,Totaal,,1348.0
2020-12-22,RIVM_report_20201222,5-9,Totaal,,5813.0
2020-12-22,RIVM_report_20201222,10-14,Totaal,,30042.0
2020-12-22,RIVM_report_20201222,15-19,Totaal,,61257.0
2020-12-22,RIVM_report_20201222,20-24,Totaal,,68655.0
2020-12-22,RIVM_report_20201222,25-29,Totaal,,59633.0
2020-12-22,RIVM_report_20201222,30-34,Totaal,,52622.0
2020-12-22,RIVM_report_20201222,35-39,Totaal,,48044.0
2020-12-22,RIVM_report_20201222,40-44,Totaal,,49533.0
2020-12-22,RIVM_report_20201222,45-49,Totaal,,58766.0
2020-12-22,RIVM_report_20201222,50-54,Totaal,,64790.0
2020-12-22,RIVM_report_20201222,55-59,Totaal,,56907.0
2020-12-22,RIVM_report_20201222,60-64,Totaal,,42809.0
2020-12-22,RIVM_report_20201222,65-69,Totaal,,27391.0
2020-12-22,RIVM_report_20201222,70-74,Totaal,,23808.0
2020-12-22,RIVM_report_20201222,75-79,Totaal,,18298.0
2020-12-22,RIVM_report_20201222,80-84,Totaal,,16329.0
2020-12-22,RIVM_report_20201222,85-89,Totaal,,13946.0
2020-12-22,RIVM_report_20201222,90-94,Totaal,,7987.0
2020-12-22,RIVM_report_20201222,95+,Totaal,,2644.0
2020-12-22,RIVM_report_20201222,Niet vermeld,Totaal,,61.0
2020-12-22,RIVM_report_20201222,0-4,Overleden,,0.0
2020-12-22,RIVM_report_20201222,5-9,Overleden,,0.0
2020-12-22,RIVM_report_20201222,10-14,Overleden,,0.0
2020-12-22,RIVM_report_20201222,15-19,Overleden,,2.0
2020-12-22,RIVM_report_20201222,20-24,Overleden,,1.0
2020-12-22,RIVM_report_20201222,25-29,Overleden,,4.0
2020-12-22,RIVM_report_20201222,30-34,Overleden,,6.0
2020-12-22,RIVM_report_20201222,35-39,Overleden,,14.0
2020-12-22,RIVM_report_20201222,40-44,Overleden,,12.0
2020-12-22,RIVM_report_20201222,45-49,Overleden,,45.0
2020-12-22,RIVM_report_20201222,50-54,Overleden,,85.0
2020-12-22,RIVM_report_20201222,55-59,Overleden,,144.0
2020-12-22,RIVM_report_20201222,60-64,Overleden,,256.0
2020-12-22,RIVM_report_20201222,65-69,Overleden,,509.0
2020-12-22,RIVM_report_20201222,70-74,Overleden,,1014.0
2020-12-22,RIVM_report_20201222,75-79,Overleden,,1659.0
2020-12-22,RIVM_report_20201222,80-84,Overleden,,2245.0
2020-12-22,RIVM_report_20201222,85-89,Overleden,,2464.0
2020-12-22,RIVM_report_20201222,90-94,Overleden,,1575.0
2020-12-22,RIVM_report_20201222,95+,Overleden,,598.0
2020-12-22,RIVM_report_20201222,Niet vermeld,Overleden,,0.0
