Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-11-03,RIVM_report_20201103,0-4,Totaal,,654.0
2020-11-03,RIVM_report_20201103,5-9,Totaal,,1765.0
2020-11-03,RIVM_report_20201103,10-14,Totaal,,9832.0
2020-11-03,RIVM_report_20201103,15-19,Totaal,,29418.0
2020-11-03,RIVM_report_20201103,20-24,Totaal,,41438.0
2020-11-03,RIVM_report_20201103,25-29,Totaal,,34702.0
2020-11-03,RIVM_report_20201103,30-34,Totaal,,29346.0
2020-11-03,RIVM_report_20201103,35-39,Totaal,,25463.0
2020-11-03,RIVM_report_20201103,40-44,Totaal,,25495.0
2020-11-03,RIVM_report_20201103,45-49,Totaal,,30392.0
2020-11-03,RIVM_report_20201103,50-54,Totaal,,34297.0
2020-11-03,RIVM_report_20201103,55-59,Totaal,,30524.0
2020-11-03,RIVM_report_20201103,60-64,Totaal,,22593.0
2020-11-03,RIVM_report_20201103,65-69,Totaal,,14061.0
2020-11-03,RIVM_report_20201103,70-74,Totaal,,12449.0
2020-11-03,RIVM_report_20201103,75-79,Totaal,,9918.0
2020-11-03,RIVM_report_20201103,80-84,Totaal,,9227.0
2020-11-03,RIVM_report_20201103,85-89,Totaal,,8025.0
2020-11-03,RIVM_report_20201103,90-94,Totaal,,4669.0
2020-11-03,RIVM_report_20201103,95+,Totaal,,1537.0
2020-11-03,RIVM_report_20201103,Niet vermeld,Totaal,,85.0
2020-11-03,RIVM_report_20201103,0-4,Overleden,,0.0
2020-11-03,RIVM_report_20201103,5-9,Overleden,,0.0
2020-11-03,RIVM_report_20201103,10-14,Overleden,,0.0
2020-11-03,RIVM_report_20201103,15-19,Overleden,,1.0
2020-11-03,RIVM_report_20201103,20-24,Overleden,,0.0
2020-11-03,RIVM_report_20201103,25-29,Overleden,,3.0
2020-11-03,RIVM_report_20201103,30-34,Overleden,,4.0
2020-11-03,RIVM_report_20201103,35-39,Overleden,,9.0
2020-11-03,RIVM_report_20201103,40-44,Overleden,,9.0
2020-11-03,RIVM_report_20201103,45-49,Overleden,,33.0
2020-11-03,RIVM_report_20201103,50-54,Overleden,,58.0
2020-11-03,RIVM_report_20201103,55-59,Overleden,,113.0
2020-11-03,RIVM_report_20201103,60-64,Overleden,,197.0
2020-11-03,RIVM_report_20201103,65-69,Overleden,,399.0
2020-11-03,RIVM_report_20201103,70-74,Overleden,,754.0
2020-11-03,RIVM_report_20201103,75-79,Overleden,,1219.0
2020-11-03,RIVM_report_20201103,80-84,Overleden,,1591.0
2020-11-03,RIVM_report_20201103,85-89,Overleden,,1739.0
2020-11-03,RIVM_report_20201103,90-94,Overleden,,1056.0
2020-11-03,RIVM_report_20201103,95+,Overleden,,391.0
2020-11-03,RIVM_report_20201103,Niet vermeld,Overleden,,0.0
