Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-10-27,RIVM_report_20201027,0-4,Totaal,,578.0
2020-10-27,RIVM_report_20201027,5-9,Totaal,,1405.0
2020-10-27,RIVM_report_20201027,10-14,Totaal,,7722.0
2020-10-27,RIVM_report_20201027,15-19,Totaal,,24364.0
2020-10-27,RIVM_report_20201027,20-24,Totaal,,35519.0
2020-10-27,RIVM_report_20201027,25-29,Totaal,,29446.0
2020-10-27,RIVM_report_20201027,30-34,Totaal,,24394.0
2020-10-27,RIVM_report_20201027,35-39,Totaal,,20960.0
2020-10-27,RIVM_report_20201027,40-44,Totaal,,21001.0
2020-10-27,RIVM_report_20201027,45-49,Totaal,,24891.0
2020-10-27,RIVM_report_20201027,50-54,Totaal,,28033.0
2020-10-27,RIVM_report_20201027,55-59,Totaal,,25030.0
2020-10-27,RIVM_report_20201027,60-64,Totaal,,18477.0
2020-10-27,RIVM_report_20201027,65-69,Totaal,,11335.0
2020-10-27,RIVM_report_20201027,70-74,Totaal,,10203.0
2020-10-27,RIVM_report_20201027,75-79,Totaal,,8347.0
2020-10-27,RIVM_report_20201027,80-84,Totaal,,7786.0
2020-10-27,RIVM_report_20201027,85-89,Totaal,,6928.0
2020-10-27,RIVM_report_20201027,90-94,Totaal,,4065.0
2020-10-27,RIVM_report_20201027,95+,Totaal,,1313.0
2020-10-27,RIVM_report_20201027,Niet vermeld,Totaal,,92.0
2020-10-27,RIVM_report_20201027,0-4,Overleden,,0.0
2020-10-27,RIVM_report_20201027,5-9,Overleden,,0.0
2020-10-27,RIVM_report_20201027,10-14,Overleden,,0.0
2020-10-27,RIVM_report_20201027,15-19,Overleden,,1.0
2020-10-27,RIVM_report_20201027,20-24,Overleden,,0.0
2020-10-27,RIVM_report_20201027,25-29,Overleden,,3.0
2020-10-27,RIVM_report_20201027,30-34,Overleden,,4.0
2020-10-27,RIVM_report_20201027,35-39,Overleden,,9.0
2020-10-27,RIVM_report_20201027,40-44,Overleden,,8.0
2020-10-27,RIVM_report_20201027,45-49,Overleden,,32.0
2020-10-27,RIVM_report_20201027,50-54,Overleden,,56.0
2020-10-27,RIVM_report_20201027,55-59,Overleden,,109.0
2020-10-27,RIVM_report_20201027,60-64,Overleden,,190.0
2020-10-27,RIVM_report_20201027,65-69,Overleden,,383.0
2020-10-27,RIVM_report_20201027,70-74,Overleden,,710.0
2020-10-27,RIVM_report_20201027,75-79,Overleden,,1158.0
2020-10-27,RIVM_report_20201027,80-84,Overleden,,1497.0
2020-10-27,RIVM_report_20201027,85-89,Overleden,,1622.0
2020-10-27,RIVM_report_20201027,90-94,Overleden,,994.0
2020-10-27,RIVM_report_20201027,95+,Overleden,,366.0
2020-10-27,RIVM_report_20201027,Niet vermeld,Overleden,,0.0
