Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2021-01-26,RIVM_report_20210126,0-4,Totaal,,2194.0
2021-01-26,RIVM_report_20210126,5-9,Totaal,,9436.0
2021-01-26,RIVM_report_20210126,10-14,Totaal,,39619.0
2021-01-26,RIVM_report_20210126,15-19,Totaal,,80670.0
2021-01-26,RIVM_report_20210126,20-24,Totaal,,90710.0
2021-01-26,RIVM_report_20210126,25-29,Totaal,,78763.0
2021-01-26,RIVM_report_20210126,30-34,Totaal,,69648.0
2021-01-26,RIVM_report_20210126,35-39,Totaal,,63263.0
2021-01-26,RIVM_report_20210126,40-44,Totaal,,65363.0
2021-01-26,RIVM_report_20210126,45-49,Totaal,,77812.0
2021-01-26,RIVM_report_20210126,50-54,Totaal,,87767.0
2021-01-26,RIVM_report_20210126,55-59,Totaal,,78270.0
2021-01-26,RIVM_report_20210126,60-64,Totaal,,59313.0
2021-01-26,RIVM_report_20210126,65-69,Totaal,,38350.0
2021-01-26,RIVM_report_20210126,70-74,Totaal,,33518.0
2021-01-26,RIVM_report_20210126,75-79,Totaal,,25590.0
2021-01-26,RIVM_report_20210126,80-84,Totaal,,22700.0
2021-01-26,RIVM_report_20210126,85-89,Totaal,,19198.0
2021-01-26,RIVM_report_20210126,90-94,Totaal,,11020.0
2021-01-26,RIVM_report_20210126,95+,Totaal,,3607.0
2021-01-26,RIVM_report_20210126,Niet vermeld,Totaal,,56.0
2021-01-26,RIVM_report_20210126,0-4,Overleden,,1.0
2021-01-26,RIVM_report_20210126,5-9,Overleden,,0.0
2021-01-26,RIVM_report_20210126,10-14,Overleden,,0.0
2021-01-26,RIVM_report_20210126,15-19,Overleden,,2.0
2021-01-26,RIVM_report_20210126,20-24,Overleden,,2.0
2021-01-26,RIVM_report_20210126,25-29,Overleden,,5.0
2021-01-26,RIVM_report_20210126,30-34,Overleden,,6.0
2021-01-26,RIVM_report_20210126,35-39,Overleden,,16.0
2021-01-26,RIVM_report_20210126,40-44,Overleden,,16.0
2021-01-26,RIVM_report_20210126,45-49,Overleden,,51.0
2021-01-26,RIVM_report_20210126,50-54,Overleden,,100.0
2021-01-26,RIVM_report_20210126,55-59,Overleden,,168.0
2021-01-26,RIVM_report_20210126,60-64,Overleden,,307.0
2021-01-26,RIVM_report_20210126,65-69,Overleden,,613.0
2021-01-26,RIVM_report_20210126,70-74,Overleden,,1282.0
2021-01-26,RIVM_report_20210126,75-79,Overleden,,2074.0
2021-01-26,RIVM_report_20210126,80-84,Overleden,,2863.0
2021-01-26,RIVM_report_20210126,85-89,Overleden,,3248.0
2021-01-26,RIVM_report_20210126,90-94,Overleden,,2118.0
2021-01-26,RIVM_report_20210126,95+,Overleden,,793.0
2021-01-26,RIVM_report_20210126,Niet vermeld,Overleden,,0.0
