Datum,Type,Aantal
2020-04-21,Ziekenhuisopname,
2020-04-21,Overleden,131.0
2020-04-22,Totaal,971.0
2020-04-22,Ziekenhuisopname,
2020-04-22,Overleden,119.0
2020-04-23,Totaal,796.0
2020-04-23,Ziekenhuisopname,
2020-04-23,Overleden,106.0
2020-04-24,Totaal,661.0
2020-04-24,Ziekenhuisopname,
2020-04-24,Overleden,93.0
2020-04-25,Totaal,576.0
2020-04-25,Ziekenhuisopname,
2020-04-25,Overleden,81.0
2020-04-26,Totaal,379.0
2020-04-26,Ziekenhuisopname,
2020-04-26,Overleden,78.0
2020-04-27,Totaal,177.0
2020-04-27,Ziekenhuisopname,
2020-04-27,Overleden,75.0
2020-04-28,Totaal,393.0
2020-04-28,Ziekenhuisopname,
2020-04-28,Overleden,72.0
2020-04-29,Totaal,459.0
2020-04-29,Ziekenhuisopname,
2020-04-29,Overleden,59.0
2020-04-30,Totaal,507.0
2020-04-30,Ziekenhuisopname,
2020-04-30,Overleden,66.0
2020-05-01,Totaal,491.0
2020-05-01,Ziekenhuisopname,
2020-05-01,Overleden,54.0
2020-05-02,Totaal,312.0
2020-05-02,Ziekenhuisopname,
2020-05-02,Overleden,55.0
2020-05-03,Totaal,175.0
2020-05-03,Ziekenhuisopname,
2020-05-03,Overleden,45.0
2020-05-04,Totaal,284.0
2020-05-04,Ziekenhuisopname,
2020-05-04,Overleden,58.0
2020-05-05,Totaal,251.0
2020-05-05,Ziekenhuisopname,
2020-05-05,Overleden,35.0
2020-05-06,Totaal,302.0
2020-05-06,Ziekenhuisopname,
2020-05-06,Overleden,53.0
2020-05-07,Totaal,298.0
2020-05-07,Ziekenhuisopname,
2020-05-07,Overleden,44.0
2020-05-08,Totaal,327.0
2020-05-08,Ziekenhuisopname,
2020-05-08,Overleden,40.0
2020-05-09,Totaal,252.0
2020-05-09,Ziekenhuisopname,
2020-05-09,Overleden,39.0
2020-05-10,Totaal,152.0
2020-05-10,Ziekenhuisopname,
2020-05-10,Overleden,25.0
2020-05-11,Totaal,169.0
2020-05-11,Ziekenhuisopname,
2020-05-11,Overleden,34.0
2020-05-12,Totaal,218.0
2020-05-12,Ziekenhuisopname,
2020-05-12,Overleden,34.0
2020-05-13,Totaal,295.0
2020-05-13,Ziekenhuisopname,
2020-05-13,Overleden,26.0
2020-05-14,Totaal,185.0
2020-05-14,Ziekenhuisopname,
2020-05-14,Overleden,23.0
2020-05-15,Totaal,210.0
2020-05-15,Ziekenhuisopname,
2020-05-15,Overleden,23.0
2020-05-16,Totaal,156.0
2020-05-16,Ziekenhuisopname,
2020-05-16,Overleden,19.0
2020-05-17,Totaal,113.0
2020-05-17,Ziekenhuisopname,
2020-05-17,Overleden,16.0
2020-05-18,Totaal,103.0
2020-05-18,Ziekenhuisopname,
2020-05-18,Overleden,15.0
2020-05-19,Totaal,180.0
2020-05-19,Ziekenhuisopname,
2020-05-19,Overleden,21.0
2020-05-20,Totaal,294.0
2020-05-20,Ziekenhuisopname,
2020-05-20,Overleden,22.0
2020-05-21,Totaal,192.0
2020-05-21,Ziekenhuisopname,
2020-05-21,Overleden,11.0
2020-05-22,Totaal,196.0
2020-05-22,Ziekenhuisopname,
2020-05-22,Overleden,20.0
2020-05-23,Totaal,203.0
2020-05-23,Ziekenhuisopname,
2020-05-23,Overleden,18.0
2020-05-24,Totaal,151.0
2020-05-24,Ziekenhuisopname,
2020-05-24,Overleden,13.0
2020-05-25,Totaal,125.0
2020-05-25,Ziekenhuisopname,
2020-05-25,Overleden,15.0
2020-05-26,Totaal,173.0
2020-05-26,Ziekenhuisopname,
2020-05-26,Overleden,19.0
2020-05-27,Totaal,191.0
2020-05-27,Ziekenhuisopname,
2020-05-27,Overleden,16.0
2020-05-28,Totaal,206.0
2020-05-28,Ziekenhuisopname,
2020-05-28,Overleden,5.0
2020-05-29,Totaal,167.0
2020-05-29,Ziekenhuisopname,
2020-05-29,Overleden,11.0
2020-05-30,Totaal,170.0
2020-05-30,Ziekenhuisopname,
2020-05-30,Overleden,11.0
2020-05-31,Totaal,99.0
2020-05-31,Ziekenhuisopname,
2020-05-31,Overleden,14.0
2020-06-01,Totaal,99.0
2020-06-01,Ziekenhuisopname,
2020-06-01,Overleden,7.0
2020-06-02,Totaal,122.0
2020-06-02,Ziekenhuisopname,
2020-06-02,Overleden,8.0
2020-06-03,Totaal,186.0
2020-06-03,Ziekenhuisopname,
2020-06-03,Overleden,6.0
2020-06-04,Totaal,262.0
2020-06-04,Ziekenhuisopname,
2020-06-04,Overleden,8.0
2020-06-05,Totaal,222.0
2020-06-05,Ziekenhuisopname,
2020-06-05,Overleden,10.0
2020-06-06,Totaal,186.0
2020-06-06,Ziekenhuisopname,
2020-06-06,Overleden,8.0
2020-06-07,Totaal,134.0
2020-06-07,Ziekenhuisopname,
2020-06-07,Overleden,9.0
2020-06-08,Totaal,155.0
2020-06-08,Ziekenhuisopname,
2020-06-08,Overleden,6.0
2020-06-09,Totaal,142.0
2020-06-09,Ziekenhuisopname,
2020-06-09,Overleden,5.0
2020-06-10,Totaal,182.0
2020-06-10,Ziekenhuisopname,
2020-06-10,Overleden,7.0
2020-06-11,Totaal,205.0
2020-06-11,Ziekenhuisopname,
2020-06-11,Overleden,5.0
2020-06-12,Totaal,195.0
2020-06-12,Ziekenhuisopname,
2020-06-12,Overleden,7.0
2020-06-13,Totaal,131.0
2020-06-13,Ziekenhuisopname,
2020-06-13,Overleden,1.0
2020-06-14,Totaal,147.0
2020-06-14,Ziekenhuisopname,
2020-06-14,Overleden,4.0
2020-06-15,Totaal,129.0
2020-06-15,Ziekenhuisopname,
2020-06-15,Overleden,5.0
2020-06-16,Totaal,119.0
2020-06-16,Ziekenhuisopname,
2020-06-16,Overleden,3.0
2020-06-17,Totaal,137.0
2020-06-17,Ziekenhuisopname,
2020-06-17,Overleden,4.0
2020-06-18,Totaal,83.0
2020-06-18,Ziekenhuisopname,
2020-06-18,Overleden,5.0
2020-06-19,Totaal,103.0
2020-06-19,Ziekenhuisopname,
2020-06-19,Overleden,2.0
2020-06-20,Totaal,98.0
2020-06-20,Ziekenhuisopname,
2020-06-20,Overleden,1.0
2020-06-21,Totaal,57.0
2020-06-21,Ziekenhuisopname,
2020-06-21,Overleden,5.0
2020-06-22,Totaal,71.0
2020-06-22,Ziekenhuisopname,
2020-06-22,Overleden,1.0
2020-06-23,Totaal,75.0
2020-06-23,Ziekenhuisopname,
2020-06-23,Overleden,1.0
2020-06-24,Totaal,113.0
2020-06-24,Ziekenhuisopname,
2020-06-24,Overleden,3.0
2020-06-25,Totaal,84.0
2020-06-25,Ziekenhuisopname,
2020-06-25,Overleden,0.0
2020-06-26,Totaal,69.0
2020-06-26,Ziekenhuisopname,
2020-06-26,Overleden,2.0
2020-06-27,Totaal,81.0
2020-06-27,Ziekenhuisopname,
2020-06-27,Overleden,3.0
2020-06-28,Totaal,68.0
2020-06-28,Ziekenhuisopname,
2020-06-28,Overleden,2.0
2020-06-29,Totaal,50.0
2020-06-29,Ziekenhuisopname,
2020-06-29,Overleden,1.0
2020-06-30,Totaal,58.0
2020-06-30,Ziekenhuisopname,
2020-06-30,Overleden,2.0
2020-07-01,Totaal,74.0
2020-07-01,Ziekenhuisopname,
2020-07-01,Overleden,3.0
2020-07-02,Totaal,75.0
2020-07-02,Ziekenhuisopname,
2020-07-02,Overleden,0.0
2020-07-03,Totaal,59.0
2020-07-03,Ziekenhuisopname,
2020-07-03,Overleden,3.0
2020-07-04,Totaal,77.0
2020-07-04,Ziekenhuisopname,
2020-07-04,Overleden,0.0
2020-07-05,Totaal,45.0
2020-07-05,Ziekenhuisopname,
2020-07-05,Overleden,3.0
2020-07-06,Totaal,41.0
2020-07-06,Ziekenhuisopname,
2020-07-06,Overleden,0.0
2020-07-07,Totaal,50.0
2020-07-07,Ziekenhuisopname,
2020-07-07,Overleden,3.0
2020-07-08,Totaal,58.0
2020-07-08,Ziekenhuisopname,
