Datum,Type,Waarde
2020-03-19,Minimum,0.75
2020-03-20,Minimum,0.73
2020-03-21,Minimum,0.7
2020-03-22,Minimum,0.65
2020-03-23,Minimum,0.65
2020-03-24,Minimum,0.62
2020-03-25,Minimum,0.63
2020-03-26,Minimum,0.63
2020-03-27,Minimum,0.65
2020-03-28,Minimum,0.65
2020-03-29,Minimum,0.66
2020-03-30,Minimum,0.65
2020-03-31,Minimum,0.6
2020-05-01,Minimum,0.47
2020-05-02,Minimum,0.45
2020-05-03,Minimum,0.41
2020-05-04,Minimum,0.45
2020-05-05,Minimum,0.45
2020-05-06,Minimum,0.43
2020-05-07,Minimum,0.47
2020-05-08,Minimum,0.49
2020-05-09,Minimum,0.42
2020-05-10,Minimum,0.42
2020-05-11,Minimum,0.49
2020-05-12,Minimum,0.35
2020-05-13,Minimum,0.45
2020-05-14,Minimum,0.34
2020-05-15,Minimum,0.44
2020-05-16,Minimum,0.4
2020-05-17,Minimum,0.44
2020-05-18,Minimum,0.46
2020-05-19,Minimum,0.32
2020-05-20,Minimum,0.48
2020-05-21,Minimum,0.33
2020-05-22,Minimum,0.41
2020-05-23,Minimum,0.16
2020-05-24,Minimum,0.08
2020-05-25,Minimum,0.0
2020-05-26,Minimum,0.0
2020-05-27,Minimum,0.0
2020-05-28,Minimum,0.0
2020-04-01,Maximum,0.79
2020-04-02,Maximum,0.81
2020-04-03,Maximum,0.85
2020-04-04,Maximum,0.89
2020-04-05,Maximum,0.93
2020-04-06,Maximum,0.95
2020-04-07,Maximum,0.98
2020-04-08,Maximum,0.97
2020-04-09,Maximum,0.9
2020-04-10,Maximum,0.85
2020-04-11,Maximum,0.87
2020-04-12,Maximum,0.88
2020-04-13,Maximum,0.93
2020-04-14,Maximum,0.98
2020-04-15,Maximum,1.0
2020-04-16,Maximum,1.02
2020-04-17,Maximum,1.0
2020-04-18,Maximum,1.0
2020-04-19,Maximum,1.0
2020-04-20,Maximum,0.94
2020-04-21,Maximum,1.02
2020-04-22,Maximum,1.09
2020-04-23,Maximum,1.11
2020-04-24,Maximum,1.18
2020-04-25,Maximum,1.14
2020-04-26,Maximum,1.19
2020-04-27,Maximum,1.13
2020-04-28,Maximum,1.12
2020-04-29,Maximum,1.13
2020-04-30,Maximum,1.12
2020-02-17,Maximum,4.0
2020-02-18,Maximum,4.0
2020-02-19,Maximum,3.0
2020-02-20,Maximum,2.86
2020-02-21,Maximum,3.67
2020-02-22,Maximum,5.0
2020-02-23,Maximum,3.43
2020-02-24,Maximum,3.25
2020-02-25,Maximum,3.25
2020-02-26,Maximum,2.85
2020-02-27,Maximum,2.67
2020-02-28,Maximum,2.74
2020-02-29,Maximum,2.67
2020-03-01,Maximum,2.24
2020-03-02,Maximum,2.13
2020-03-03,Maximum,2.22
2020-03-04,Maximum,2.21
2020-03-05,Maximum,2.17
2020-03-06,Maximum,2.17
2020-03-07,Maximum,2.16
2020-03-08,Maximum,2.06
2020-03-09,Maximum,1.85
2020-03-10,Maximum,1.72
2020-03-11,Maximum,1.58
2020-03-12,Maximum,1.47
2020-03-13,Maximum,1.37
2020-03-14,Maximum,1.27
2020-03-15,Maximum,1.15
2020-03-16,Maximum,1.04
2020-03-17,Maximum,1.01
2020-03-18,Maximum,0.97
2020-03-19,Maximum,0.93
2020-03-20,Maximum,0.89
2020-03-21,Maximum,0.87
2020-03-22,Maximum,0.84
2020-03-23,Maximum,0.8
2020-03-24,Maximum,0.81
2020-03-25,Maximum,0.81
2020-03-26,Maximum,0.82
2020-03-27,Maximum,0.84
2020-03-28,Maximum,0.88
2020-03-29,Maximum,0.88
2020-03-30,Maximum,0.87
2020-03-31,Maximum,0.84
2020-05-01,Maximum,1.06
2020-05-02,Maximum,1.1
2020-05-03,Maximum,1.19
2020-05-04,Maximum,1.18
2020-05-05,Maximum,1.24
2020-05-06,Maximum,1.32
2020-05-07,Maximum,1.32
2020-05-08,Maximum,1.33
2020-05-09,Maximum,1.4
2020-05-10,Maximum,1.34
2020-05-11,Maximum,1.25
2020-05-12,Maximum,1.41
2020-05-13,Maximum,1.34
2020-05-14,Maximum,1.47
2020-05-15,Maximum,1.37
2020-05-16,Maximum,1.5
2020-05-17,Maximum,1.55
2020-05-18,Maximum,1.66
2020-05-19,Maximum,1.89
2020-05-20,Maximum,1.59
2020-05-21,Maximum,1.65
2020-05-22,Maximum,1.47
2020-05-23,Maximum,1.69
2020-05-24,Maximum,1.52
2020-05-25,Maximum,1.43
2020-05-26,Maximum,1.74
2020-05-27,Maximum,2.42
2020-05-28,Maximum,3.03
