Datum,LeeftijdGroep,Aantal
2020-11-07,0-9,60
2020-11-07,10-19,764
2020-11-07,20-29,1159
2020-11-07,30-39,957
2020-11-07,40-49,968
2020-11-07,50-59,1195
2020-11-07,60-69,726
2020-11-07,70-79,425
2020-11-07,80-89,334
2020-11-07,90+,85
