Datum,LeeftijdGroep,Aantal
2020-12-01,0-9,55
2020-12-01,10-19,622
2020-12-01,20-29,614
2020-12-01,30-39,598
2020-12-01,40-49,629
2020-12-01,50-59,705
2020-12-01,60-69,396
2020-12-01,70-79,244
2020-12-01,80-89,139
2020-12-01,90+,43
