Datum,LeeftijdGroep,Aantal
2020-11-08,0-9,58
2020-11-08,10-19,676
2020-11-08,20-29,1018
2020-11-08,30-39,845
2020-11-08,40-49,840
2020-11-08,50-59,986
2020-11-08,60-69,626
2020-11-08,70-79,319
2020-11-08,80-89,223
2020-11-08,90+,73
