Datum,LeeftijdGroep,Aantal
2020-12-03,0-9,74
2020-12-03,10-19,991
2020-12-03,20-29,893
2020-12-03,30-39,755
2020-12-03,40-49,846
2020-12-03,50-59,900
2020-12-03,60-69,531
2020-12-03,70-79,323
2020-12-03,80-89,223
2020-12-03,90+,70
