Datum,LeeftijdGroep,Aantal
2020-11-30,0-9,66
2020-11-30,10-19,776
2020-11-30,20-29,679
2020-11-30,30-39,617
2020-11-30,40-49,754
2020-11-30,50-59,822
2020-11-30,60-69,446
2020-11-30,70-79,244
2020-11-30,80-89,132
2020-11-30,90+,32
