Datum,LeeftijdGroep,Aantal
2020-12-05,0-9,117
2020-12-05,10-19,1126
2020-12-05,20-29,1002
2020-12-05,30-39,831
2020-12-05,40-49,1030
2020-12-05,50-59,1075
2020-12-05,60-69,620
2020-12-05,70-79,378
2020-12-05,80-89,260
2020-12-05,90+,81
