Datum,LeeftijdGroep,Aantal
2020-11-10,0-9,37
2020-11-10,10-19,539
2020-11-10,20-29,792
2020-11-10,30-39,678
2020-11-10,40-49,795
2020-11-10,50-59,843
2020-11-10,60-69,523
2020-11-10,70-79,249
2020-11-10,80-89,165
2020-11-10,90+,49
