"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27-feb";0;3
"28-feb";0;4
"29-feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;33
"7 mrt";0;45
"8 mrt";0;71
"9 mrt";0;77
"10 mrt";0;137
"11 mrt";0;172
"12 mrt";0;182
"13 mrt";0;217
"14 mrt";0;221
"15 mrt";0;233
"16 mrt";0;272
"17 mrt";1;373
"18 mrt";0;461
"19 mrt";0;514
"20 mrt";0;704
"21 mrt";0;668
"22 mrt";0;543
"23 mrt";0;622
"24 mrt";0;1131
"25 mrt";0;1057
"26 mrt";1;1052
"27 mrt";0;1192
"28 mrt";0;991
"29 mrt";1;745
"30 mrt";0;801
"31 mrt";1;1126
"1-apr";8;1032
"2-apr";8;1014
"3-apr";9;1214
"4-apr";6;1083
"5-apr";20;821
"6-apr";192;503
"7-apr";665;68
"8-apr";61;0
