"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";7;0
"45-49";9;15
"50-54";30;20
"55-59";75;25
"60-64";115;51
"65-69";228;116
"70-74";391;248
"75-79";667;353
"80-84";755;540
"85-89";732;676
"90-94";332;530
"95+";75;239
