"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";1;0
"30-34";0;1
"35-39";1;0
"40-44";2;0
"45-49";2;4
"50-54";8;9
"55-59";23;12
"60-64";45;19
"65-69";97;45
"70-74";157;87
"75-79";300;134
"80-84";339;187
"85-89";294;188
"90-94";97;130
"95+";16;48
"Niet vermeld";1;1
