"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";1;1
"40-44";3;0
"45-49";2;5
"50-54";12;12
"55-59";30;14
"60-64";56;25
"65-69";118;60
"70-74";200;104
"75-79";372;165
"80-84";398;244
"85-89";360;247
"90-94";123;176
"95+";23;65
