"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";0;0
"25-29";3;0
"30-34";4;2
"35-39";9;4
"40-44";10;1
"45-49";23;19
"50-54";48;28
"55-59";93;40
"60-64";159;82
"65-69";313;161
"70-74";596;346
"75-79";1003;535
"80-84";1209;854
"85-89";1214;1069
"90-94";561;853
"95+";135;399
"95+";124;365
