"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";2;1
"40-44";3;0
"45-49";3;5
"50-54";15;13
"55-59";37;15
"60-64";64;28
"65-69";132;64
"70-74";224;122
"75-79";417;181
"80-84";430;267
"85-89";394;275
"90-94";140;195
"95+";26;75
