"Leeftijdsgroep";"Man";"Vrouw"
"0-4";1;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";2;0
"25-29";5;1
"30-34";5;2
"35-39";11;5
"40-44";14;2
"45-49";29;23
"50-54";60;41
"55-59";118;56
"60-64";205;113
"65-69";414;226
"70-74";837;483
"75-79";1374;760
"80-84";1710;1240
"85-89";1740;1611
"90-94";891;1304
"95+";223;600
