"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";2;1
"35-39";5;1
"40-44";5;0
"45-49";5;11
"50-54";19;17
"55-59";59;21
"60-64";89;43
"65-69";181;93
"70-74";314;202
"75-79";560;282
"80-84";607;414
"85-89";570;476
"90-94";245;350
"95+";58;160
