"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;0
"29 feb";0;2
"1 mrt";0;1
"2 mrt";0;3
"3 mrt";0;6
"4 mrt";0;4
"5 mrt";1;6
"6 mrt";0;6
"7 mrt";0;13
"8 mrt";0;14
"9 mrt";0;17
"10 mrt";1;19
"11 mrt";0;43
"12 mrt";0;43
"13 mrt";0;63
"14 mrt";0;65
"15 mrt";0;79
"16 mrt";1;121
"17 mrt";2;147
"18 mrt";1;178
"19 mrt";0;242
"20 mrt";1;306
"21 mrt";2;331
"22 mrt";1;291
"23 mrt";3;322
"24 mrt";6;560
"25 mrt";2;501
"26 mrt";1;505
"27 mrt";2;542
"28 mrt";6;491
"29 mrt";3;404
"30 mrt";3;353
"31 mrt";1;508
"1 apr";1;349
"2 apr";1;348
"3 apr";0;352
"4 apr";1;290
"5 apr";0;251
"6 apr";3;241
"7 apr";4;269
"8 apr";1;218
"9 apr";3;198
"10 apr";1;190
"11 apr";3;147
"12 apr";2;107
"13 apr";1;141
"14 apr";5;136
"15 apr";4;141
"16 apr";1;107
"17 apr";8;98
"18 apr";2;94
"19 apr";4;46
"20 apr";9;51
"21 apr";15;50
"22 apr";35;5
"23 apr";1;0
