"Datum ziekenhuisopname";"nieuw";"t/m afgelopen week"
"27 feb";0;1
"28 feb";0;8
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;14
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;13
"6 mrt";0;20
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;81
"13 mrt";0;87
"14 mrt";0;91
"15 mrt";0;101
"16 mrt";0;183
"17 mrt";0;178
"18 mrt";0;245
"19 mrt";0;349
"20 mrt";0;335
"21 mrt";0;280
"22 mrt";0;301
"23 mrt";0;556
"24 mrt";0;478
"25 mrt";0;512
"26 mrt";0;490
"27 mrt";0;609
"28 mrt";0;338
"29 mrt";0;301
"30 mrt";0;504
"31 mrt";0;341
"1 apr";0;362
"2 apr";0;352
"3 apr";0;333
"4 apr";0;198
"5 apr";0;217
"6 apr";0;312
"7 apr";0;193
"8 apr";0;189
"9 apr";0;186
"10 apr";0;171
"11 apr";0;133
"12 apr";0;126
"13 apr";0;135
"14 apr";0;159
"15 apr";0;108
"16 apr";0;101
"17 apr";0;122
"18 apr";0;70
"19 apr";0;60
"20 apr";0;90
"21 apr";0;71
"22 apr";0;69
"23 apr";0;76
"24 apr";0;44
"25 apr";0;44
"26 apr";0;31
"27 apr";0;39
"28 apr";0;59
"29 apr";0;41
"30 apr";0;36
"1 mei";0;29
"2 mei";0;17
"3 mei";0;32
"4 mei";0;32
"5 mei";0;18
"6 mei";0;36
"7 mei";0;27
"8 mei";0;27
"9 mei";0;16
"10 mei";0;13
"11 mei";0;23
"12 mei";0;10
"13 mei";0;19
"14 mei";0;11
"15 mei";0;10
"16 mei";0;9
"17 mei";0;9
"18 mei";0;11
"19 mei";0;8
"20 mei";0;10
"21 mei";0;8
"22 mei";0;10
"23 mei";0;8
"24 mei";0;4
"25 mei";0;14
"26 mei";0;7
"27 mei";0;8
"28 mei";0;4
"29 mei";0;9
"30 mei";0;8
"31 mei";0;6
"1 jun";0;5
"2 jun";0;9
"3 jun";0;2
"4 jun";0;8
"5 jun";0;5
"6 jun";0;3
"7 jun";0;2
"8 jun";0;6
"9 jun";0;5
"10 jun";0;2
"11 jun";0;3
"12 jun";0;5
"13 jun";0;1
"14 jun";0;2
"15 jun";0;0
"16 jun";0;4
"17 jun";0;1
"18 jun";0;3
"19 jun";0;2
"20 jun";0;3
"21 jun";0;2
"22 jun";0;4
"23 jun";0;2
"24 jun";0;2
"25 jun";0;3
"26 jun";0;0
"27 jun";0;2
"28 jun";0;1
"29 jun";0;1
"30 jun";0;1
"1 jul";0;1
"2 jul";0;0
"3 jul";0;1
"4 jul";0;0
"5 jul";0;1
"6 jul";0;2
"7 jul";0;2
"8 jul";0;1
"9 jul";0;2
"10 jul";0;1
"11 jul";0;0
"12 jul";0;1
"13 jul";0;4
"14 jul";0;1
"15 jul";0;0
"16 jul";0;0
"17 jul";0;3
"18 jul";0;3
"19 jul";0;4
"20 jul";0;2
"21 jul";0;1
"22 jul";0;4
"23 jul";0;8
"24 jul";0;3
"25 jul";0;6
"26 jul";0;2
"27 jul";0;4
"28 jul";0;6
"29 jul";0;4
"30 jul";0;12
"31 jul";0;10
"1 aug";0;4
"2 aug";0;3
"3 aug";0;10
"4 aug";0;2
"5 aug";0;6
"6 aug";0;5
"7 aug";0;12
"8 aug";0;11
"9 aug";0;13
"10 aug";0;14
"11 aug";0;8
"12 aug";0;11
"13 aug";0;9
"14 aug";0;10
"15 aug";0;8
"16 aug";0;11
"17 aug";0;11
"18 aug";0;6
"19 aug";0;2
"20 aug";0;7
"21 aug";0;8
"22 aug";0;9
"23 aug";0;1
"24 aug";0;7
"25 aug";0;10
"26 aug";0;6
"27 aug";0;4
"28 aug";0;6
"29 aug";0;2
"30 aug";0;6
"31 aug";0;9
"1 sep";0;9
"2 sep";1;7
"3 sep";0;7
"4 sep";0;9
"5 sep";0;6
"6 sep";0;9
"7 sep";0;10
"8 sep";0;9
"9 sep";2;15
"10 sep";0;12
"11 sep";1;18
"12 sep";0;8
"13 sep";0;11
"14 sep";1;23
"15 sep";0;23
"16 sep";0;23
"17 sep";0;31
"18 sep";0;20
"19 sep";0;30
"20 sep";1;26
"21 sep";4;30
"22 sep";2;32
"23 sep";4;30
"24 sep";1;37
"25 sep";4;48
"26 sep";2;33
"27 sep";6;28
"28 sep";9;35
"29 sep";8;29
"30 sep";5;29
"1 okt";15;32
"2 okt";21;33
"3 okt";19;26
"4 okt";32;21
"5 okt";68;2
"6 okt";48;0
"7 okt";33;0
"8 okt";47;0
"9 okt";31;0
"10 okt";24;0
"11 okt";11;0
"12 okt";7;0
"13 okt";0;0
