"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;77
"10 mrt";0;137
"11 mrt";0;169
"12 mrt";0;185
"13 mrt";0;220
"14 mrt";0;222
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;373
"18 mrt";0;462
"19 mrt";0;515
"20 mrt";0;699
"21 mrt";0;668
"22 mrt";0;542
"23 mrt";0;622
"24 mrt";0;1127
"25 mrt";0;1053
"26 mrt";0;1056
"27 mrt";0;1192
"28 mrt";0;992
"29 mrt";0;748
"30 mrt";0;807
"31 mrt";1;1131
"1 apr";1;1043
"2 apr";1;1033
"3 apr";2;1228
"4 apr";1;1097
"5 apr";0;855
"6 apr";0;775
"7 apr";0;1089
"8 apr";0;1351
"9 apr";0;1315
"10 apr";0;1392
"11 apr";0;1048
"12 apr";0;823
"13 apr";0;755
"14 apr";0;807
"15 apr";0;1105
"16 apr";0;1163
"17 apr";0;1266
"18 apr";2;984
"19 apr";0;615
"20 apr";0;593
"21 apr";0;707
"22 apr";0;967
"23 apr";0;793
"24 apr";0;651
"25 apr";4;565
"26 apr";22;342
"27 apr";126;24
"28 apr";18;0
