"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";2;1
"35-39";4;1
"40-44";4;0
"45-49";5;10
"50-54";19;17
"55-59";57;19
"60-64";86;38
"65-69";173;91
"70-74";304;187
"75-79";547;270
"80-84";578;392
"85-89";549;447
"90-94";234;329
"95+";54;143
