"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";7;0
"45-49";9;15
"50-54";29;20
"55-59";75;25
"60-64";114;51
"65-69";227;116
"70-74";390;247
"75-79";668;353
"80-84";753;537
"85-89";729;675
"90-94";331;530
"95+";75;239
