"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"27 feb 2020";0;5
"28 feb 2020";0;4
"29 feb 2020";0;14
"1 mrt 2020";0;13
"2 mrt 2020";0;47
"3 mrt 2020";0;41
"4 mrt 2020";0;44
"5 mrt 2020";0;41
"6 mrt 2020";0;32
"7 mrt 2020";0;45
"8 mrt 2020";0;72
"9 mrt 2020";0;78
"10 mrt 2020";0;138
"11 mrt 2020";0;168
"12 mrt 2020";0;186
"13 mrt 2020";0;222
"14 mrt 2020";0;221
"15 mrt 2020";0;234
"16 mrt 2020";0;271
"17 mrt 2020";0;370
"18 mrt 2020";0;458
"19 mrt 2020";0;515
"20 mrt 2020";0;696
"21 mrt 2020";0;668
"22 mrt 2020";0;540
"23 mrt 2020";0;619
"24 mrt 2020";0;1120
"25 mrt 2020";0;1049
"26 mrt 2020";0;1051
"27 mrt 2020";1;1178
"28 mrt 2020";0;985
"29 mrt 2020";0;746
"30 mrt 2020";0;806
"31 mrt 2020";0;1124
"1 apr 2020";0;1042
"2 apr 2020";0;1028
"3 apr 2020";0;1222
"4 apr 2020";0;1096
"5 apr 2020";0;858
"6 apr 2020";0;772
"7 apr 2020";0;1088
"8 apr 2020";0;1346
"9 apr 2020";0;1315
"10 apr 2020";0;1394
"11 apr 2020";0;1054
"12 apr 2020";0;823
"13 apr 2020";0;756
"14 apr 2020";0;816
"15 apr 2020";0;1114
"16 apr 2020";0;1168
"17 apr 2020";0;1275
"18 apr 2020";0;994
"19 apr 2020";0;623
"20 apr 2020";0;585
"21 apr 2020";0;712
"22 apr 2020";0;971
"23 apr 2020";0;796
"24 apr 2020";0;660
"25 apr 2020";0;576
"26 apr 2020";0;379
"27 apr 2020";0;177
"28 apr 2020";0;393
"29 apr 2020";0;459
"30 apr 2020";0;507
"1 mei 2020";0;492
"2 mei 2020";0;312
"3 mei 2020";0;175
"4 mei 2020";0;285
"5 mei 2020";0;251
"6 mei 2020";0;302
"7 mei 2020";0;298
"8 mei 2020";0;327
"9 mei 2020";0;252
"10 mei 2020";0;152
"11 mei 2020";0;169
"12 mei 2020";0;218
"13 mei 2020";0;295
"14 mei 2020";0;185
"15 mei 2020";0;210
"16 mei 2020";0;156
"17 mei 2020";0;113
"18 mei 2020";0;103
"19 mei 2020";0;180
"20 mei 2020";0;294
"21 mei 2020";0;192
"22 mei 2020";0;196
"23 mei 2020";0;202
"24 mei 2020";0;151
"25 mei 2020";0;126
"26 mei 2020";0;173
"27 mei 2020";0;191
"28 mei 2020";0;206
"29 mei 2020";0;167
"30 mei 2020";0;170
"31 mei 2020";0;99
"1 jun 2020";0;98
"2 jun 2020";0;123
"3 jun 2020";0;185
"4 jun 2020";0;262
"5 jun 2020";0;222
"6 jun 2020";0;186
"7 jun 2020";0;134
"8 jun 2020";0;155
"9 jun 2020";0;142
"10 jun 2020";0;182
"11 jun 2020";0;205
"12 jun 2020";0;195
"13 jun 2020";0;131
"14 jun 2020";0;147
"15 jun 2020";0;129
"16 jun 2020";0;119
"17 jun 2020";0;137
"18 jun 2020";0;83
"19 jun 2020";0;103
"20 jun 2020";0;98
"21 jun 2020";0;57
"22 jun 2020";0;71
"23 jun 2020";0;75
"24 jun 2020";0;113
"25 jun 2020";0;84
"26 jun 2020";0;69
"27 jun 2020";0;81
"28 jun 2020";0;68
"29 jun 2020";0;50
"30 jun 2020";0;58
"1 jul 2020";0;74
"2 jul 2020";0;75
"3 jul 2020";0;59
"4 jul 2020";0;77
"5 jul 2020";0;45
"6 jul 2020";0;41
"7 jul 2020";0;50
"8 jul 2020";0;58
"9 jul 2020";0;62
"10 jul 2020";0;98
"11 jul 2020";0;74
"12 jul 2020";0;88
"13 jul 2020";0;101
"14 jul 2020";0;95
"15 jul 2020";0;150
"16 jul 2020";0;134
"17 jul 2020";0;162
"18 jul 2020";0;135
"19 jul 2020";0;153
"20 jul 2020";0;179
"21 jul 2020";0;167
"22 jul 2020";0;141
"23 jul 2020";0;217
"24 jul 2020";0;188
"25 jul 2020";0;193
"26 jul 2020";1;201
"27 jul 2020";0;202
"28 jul 2020";0;235
"29 jul 2020";0;349
"30 jul 2020";0;343
"31 jul 2020";0;554
"1 aug 2020";0;366
"2 aug 2020";0;336
"3 aug 2020";0;472
"4 aug 2020";0;491
"5 aug 2020";0;668
"6 aug 2020";0;539
"7 aug 2020";0;564
"8 aug 2020";0;627
"9 aug 2020";0;571
"10 aug 2020";0;529
"11 aug 2020";0;681
"12 aug 2020";0;605
"13 aug 2020";0;685
"14 aug 2020";0;591
"15 aug 2020";0;546
"16 aug 2020";0;438
"17 aug 2020";0;430
"18 aug 2020";0;564
"19 aug 2020";0;576
"20 aug 2020";0;503
"21 aug 2020";0;519
"22 aug 2020";0;498
"23 aug 2020";0;529
"24 aug 2020";0;438
"25 aug 2020";0;530
"26 aug 2020";0;467
"27 aug 2020";0;527
"28 aug 2020";0;556
"29 aug 2020";0;524
"30 aug 2020";0;547
"31 aug 2020";0;568
"1 sep 2020";0;621
"2 sep 2020";0;625
"3 sep 2020";0;720
"4 sep 2020";0;786
"5 sep 2020";0;813
"6 sep 2020";0;847
"7 sep 2020";0;1033
"8 sep 2020";0;1116
"9 sep 2020";0;1021
"10 sep 2020";0;1135
"11 sep 2020";0;1218
"12 sep 2020";0;1275
"13 sep 2020";0;1285
"14 sep 2020";0;1478
"15 sep 2020";0;1746
"16 sep 2020";0;1826
"17 sep 2020";0;2145
"18 sep 2020";0;2020
"19 sep 2020";0;2088
"20 sep 2020";0;2316
"21 sep 2020";0;2326
"22 sep 2020";0;2649
"23 sep 2020";0;2473
"24 sep 2020";0;2845
"25 sep 2020";0;3012
"26 sep 2020";0;2724
"27 sep 2020";1;3042
"28 sep 2020";0;3017
"29 sep 2020";0;3559
"30 sep 2020";0;3803
"1 okt 2020";0;3683
"2 okt 2020";0;4381
"3 okt 2020";0;4207
"4 okt 2020";0;4432
"5 okt 2020";0;4540
"6 okt 2020";0;6065
"7 okt 2020";0;5786
"8 okt 2020";0;6045
"9 okt 2020";0;7203
"10 okt 2020";1;6220
"11 okt 2020";0;6793
"12 okt 2020";0;7971
"13 okt 2020";0;7633
"14 okt 2020";0;8577
"15 okt 2020";0;8392
"16 okt 2020";0;8554
"17 okt 2020";0;7830
"18 okt 2020";0;7695
"19 okt 2020";1;7715
"20 okt 2020";0;9531
"21 okt 2020";0;9838
"22 okt 2020";0;9683
"23 okt 2020";0;9217
