"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";7;0
"45-49";9;15
"50-54";27;20
"55-59";75;24
"60-64";112;51
"65-69";223;115
"70-74";386;243
"75-79";660;346
"80-84";744;527
"85-89";721;667
"90-94";324;514
"95+";74;237
