"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";2;1
"40-44";3;0
"45-49";2;5
"50-54";14;13
"55-59";31;14
"60-64";59;27
"65-69";127;61
"70-74";216;107
"75-79";389;172
"80-84";409;252
"85-89";371;259
"90-94";130;182
"95+";24;69
