"Datum van overlijden";"nieuw";"tot en met gisteren"
"27-feb";0;0
"28-feb";0;0
"29-feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";1;13
"16 mrt";0;23
"17 mrt";0;23
"18 mrt";0;20
"19 mrt";1;43
"20 mrt";0;55
"21 mrt";1;59
"22 mrt";0;60
"23 mrt";0;84
"24 mrt";0;74
"25 mrt";0;105
"26 mrt";2;118
"27 mrt";0;105
"28 mrt";1;147
"29 mrt";0;115
"30 mrt";0;143
"31 mrt";1;151
"1-apr";3;147
"2-apr";2;154
"3-apr";4;133
"4-apr";14;117
"5-apr";13;114
"6-apr";53;62
"7-apr";49;5
"8-apr";1;0
