"Datum ziekenhuisopname";"nieuw";"t/m afgelopen week"
"27 feb";3;
"28 feb";3;
"29 feb";2;
"1 mrt";9;
"2 mrt";10;
"3 mrt";11;
"4 mrt";13;
"5 mrt";12;
"6 mrt";19;
"7 mrt";9;
"8 mrt";22;
"9 mrt";31;
"10 mrt";34;
"11 mrt";48;
"12 mrt";72;
"13 mrt";84;
"14 mrt";74;
"15 mrt";90;
"16 mrt";168;
"17 mrt";165;
"18 mrt";212;
"19 mrt";301;
"20 mrt";308;
"21 mrt";252;
"22 mrt";283;
"23 mrt";506;
"24 mrt";493;
"25 mrt";508;
"26 mrt";499;
"27 mrt";624;
"28 mrt";351;
"29 mrt";298;
"30 mrt";503;
"31 mrt";362;
"1 apr";340;
"2 apr";392;
"3 apr";367;
"4 apr";209;
"5 apr";255;
"6 apr";343;
"7 apr";226;
"8 apr";234;
"9 apr";204;
"10 apr";222;
"11 apr";139;
"12 apr";153;
"13 apr";178;
"14 apr";174;
"15 apr";124;
"16 apr";124;
"17 apr";141;
"18 apr";78;
"19 apr";84;
"20 apr";112;
"21 apr";112;
"22 apr";90;
"23 apr";97;
"24 apr";81;
"25 apr";51;
"26 apr";44;
"27 apr";64;
"28 apr";88;
"29 apr";52;
"30 apr";67;
"1 mei";50;
"2 mei";31;
"3 mei";39;
"4 mei";58;
"5 mei";26;
"6 mei";55;
"7 mei";44;
"8 mei";58;
"9 mei";30;
"10 mei";23;
"11 mei";47;
"12 mei";22;
"13 mei";33;
"14 mei";25;
"15 mei";30;
"16 mei";20;
"17 mei";28;
"18 mei";35;
"19 mei";17;
"20 mei";27;
"21 mei";11;
"22 mei";31;
"23 mei";13;
"24 mei";18;
"25 mei";31;
"26 mei";26;
"27 mei";15;
"28 mei";13;
"29 mei";20;
"30 mei";19;
"31 mei";12;
"1 jun";15;
"2 jun";21;
"3 jun";14;
"4 jun";11;
"5 jun";10;
"6 jun";4;
"7 jun";7;
"8 jun";12;
"9 jun";9;
"10 jun";5;
"11 jun";11;
"12 jun";9;
"13 jun";3;
"14 jun";3;
"15 jun";5;
"16 jun";9;
"17 jun";5;
"18 jun";5;
"19 jun";4;
"20 jun";3;
"21 jun";4;
"22 jun";9;
"23 jun";2;
"24 jun";6;
"25 jun";7;
"26 jun";1;
"27 jun";2;
"28 jun";4;
"29 jun";5;
"30 jun";3;
"1 jul";4;
"2 jul";4;
"3 jul";4;
"4 jul";1;
"5 jul";1;
"6 jul";3;
"7 jul";4;
"8 jul";5;
"9 jul";4;
"10 jul";4;
"11 jul";1;
"12 jul";2;
"13 jul";4;
"14 jul";5;
"15 jul";2;
"16 jul";2;
"17 jul";5;
"18 jul";6;
"19 jul";8;
"20 jul";3;
"21 jul";5;
"22 jul";4;
"23 jul";9;
"24 jul";10;
"25 jul";10;
"26 jul";4;
"27 jul";9;
"28 jul";10;
"29 jul";3;
"30 jul";17;
"31 jul";13;
"1 aug";10;
"2 aug";11;
"3 aug";17;
"4 aug";9;
"5 aug";9;
"6 aug";11;
"7 aug";14;
"8 aug";17;
"9 aug";19;
"10 aug";19;
"11 aug";27;
"12 aug";21;
"13 aug";21;
"14 aug";15;
"15 aug";16;
"16 aug";18;
"17 aug";22;
"18 aug";9;
"19 aug";15;
"20 aug";27;
"21 aug";20;
"22 aug";10;
"23 aug";16;
"24 aug";11;
"25 aug";19;
"26 aug";11;
"27 aug";9;
"28 aug";12;
