"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";1;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;23
"17 mrt";0;23
"18 mrt";0;20
"19 mrt";0;43
"20 mrt";0;55
"21 mrt";0;60
"22 mrt";0;59
"23 mrt";1;84
"24 mrt";0;74
"25 mrt";1;105
"26 mrt";0;121
"27 mrt";0;105
"28 mrt";0;147
"29 mrt";0;115
"30 mrt";0;144
"31 mrt";1;152
"1 apr";2;150
"2 apr";2;156
"3 apr";1;144
"4 apr";5;135
"5 apr";3;135
"6 apr";9;131
"7 apr";17;107
"8 apr";48;56
"9 apr";23;3
"10 apr";3;0
