"Leeftijdsgroep";"Man";"Vrouw"
"0-4";1;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";2;0
"25-29";4;0
"30-34";4;2
"35-39";10;5
"40-44";12;2
"45-49";28;22
"50-54";61;37
"55-59";111;51
"60-64";190;98
"65-69";369;204
"70-74";753;434
"75-79";1254;670
"80-84";1537;1098
"85-89";1548;1422
"90-94";767;1142
"95+";194;529
