"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";0;0
"25-29";3;0
"30-34";4;2
"35-39";9;4
"40-44";10;1
"45-49";24;19
"50-54";50;30
"55-59";99;42
"60-64";163;84
"65-69";320;167
"70-74";616;355
"75-79";1039;557
"80-84";1264;886
"85-89";1257;1115
"90-94";594;891
"95+";146;415
