"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;4
"40-44";8;0
"45-49";15;17
"50-54";35;21
"55-59";77;32
"60-64";130;60
"65-69";252;131
"70-74";445;265
"75-79";752;406
"80-84";872;625
"85-89";856;766
"90-94";388;606
"95+";91;275
