"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;43
"20 mrt";0;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;74
"25 mrt";0;110
"26 mrt";0;124
"27 mrt";0;109
"28 mrt";0;150
"29 mrt";0;119
"30 mrt";0;150
"31 mrt";1;166
"1 apr";1;157
"2 apr";0;167
"3 apr";0;156
"4 apr";2;161
"5 apr";1;148
"6 apr";0;155
"7 apr";0;143
"8 apr";2;140
"9 apr";1;108
"10 apr";2;138
"11 apr";0;134
"12 apr";2;131
"13 apr";0;125
"14 apr";1;124
"15 apr";2;108
"16 apr";0;120
"17 apr";2;110
"18 apr";2;105
"19 apr";7;88
"20 apr";11;64
"21 apr";48;43
"22 apr";37;2
"23 apr";2;0
