"Datum ziekenhuisopname";"nieuw";"t/m afgelopen week"
"27 feb 2020";3;
"28 feb 2020";3;
"29 feb 2020";2;
"1 mrt 2020";9;
"2 mrt 2020";10;
"3 mrt 2020";11;
"4 mrt 2020";13;
"5 mrt 2020";12;
"6 mrt 2020";19;
"7 mrt 2020";9;
"8 mrt 2020";22;
"9 mrt 2020";31;
"10 mrt 2020";34;
"11 mrt 2020";48;
"12 mrt 2020";71;
"13 mrt 2020";84;
"14 mrt 2020";73;
"15 mrt 2020";91;
"16 mrt 2020";168;
"17 mrt 2020";165;
"18 mrt 2020";212;
"19 mrt 2020";301;
"20 mrt 2020";308;
"21 mrt 2020";252;
"22 mrt 2020";283;
"23 mrt 2020";506;
"24 mrt 2020";493;
"25 mrt 2020";508;
"26 mrt 2020";499;
"27 mrt 2020";624;
"28 mrt 2020";351;
"29 mrt 2020";298;
"30 mrt 2020";502;
"31 mrt 2020";362;
"1 apr 2020";341;
"2 apr 2020";392;
"3 apr 2020";369;
"4 apr 2020";209;
"5 apr 2020";255;
"6 apr 2020";345;
"7 apr 2020";226;
"8 apr 2020";234;
"9 apr 2020";204;
"10 apr 2020";223;
"11 apr 2020";139;
"12 apr 2020";153;
"13 apr 2020";178;
"14 apr 2020";174;
"15 apr 2020";125;
"16 apr 2020";124;
"17 apr 2020";141;
"18 apr 2020";78;
"19 apr 2020";84;
"20 apr 2020";112;
"21 apr 2020";112;
"22 apr 2020";91;
"23 apr 2020";97;
"24 apr 2020";81;
"25 apr 2020";51;
"26 apr 2020";44;
"27 apr 2020";64;
"28 apr 2020";88;
"29 apr 2020";52;
"30 apr 2020";67;
"1 mei 2020";50;
"2 mei 2020";31;
"3 mei 2020";39;
"4 mei 2020";58;
"5 mei 2020";26;
"6 mei 2020";55;
"7 mei 2020";44;
"8 mei 2020";58;
"9 mei 2020";30;
"10 mei 2020";23;
"11 mei 2020";47;
"12 mei 2020";23;
"13 mei 2020";33;
"14 mei 2020";25;
"15 mei 2020";30;
"16 mei 2020";20;
"17 mei 2020";28;
"18 mei 2020";35;
"19 mei 2020";17;
"20 mei 2020";27;
"21 mei 2020";11;
"22 mei 2020";31;
"23 mei 2020";13;
"24 mei 2020";18;
"25 mei 2020";31;
"26 mei 2020";26;
"27 mei 2020";15;
"28 mei 2020";13;
"29 mei 2020";20;
"30 mei 2020";19;
"31 mei 2020";12;
"1 jun 2020";15;
"2 jun 2020";21;
"3 jun 2020";14;
"4 jun 2020";11;
"5 jun 2020";10;
"6 jun 2020";4;
"7 jun 2020";7;
"8 jun 2020";12;
"9 jun 2020";9;
"10 jun 2020";5;
"11 jun 2020";11;
"12 jun 2020";9;
"13 jun 2020";3;
"14 jun 2020";3;
"15 jun 2020";5;
"16 jun 2020";9;
"17 jun 2020";5;
"18 jun 2020";5;
"19 jun 2020";4;
"20 jun 2020";3;
"21 jun 2020";4;
"22 jun 2020";9;
"23 jun 2020";2;
"24 jun 2020";6;
"25 jun 2020";7;
"26 jun 2020";1;
"27 jun 2020";2;
"28 jun 2020";4;
"29 jun 2020";5;
"30 jun 2020";3;
"1 jul 2020";4;
"2 jul 2020";4;
"3 jul 2020";4;
"4 jul 2020";1;
"5 jul 2020";1;
"6 jul 2020";3;
"7 jul 2020";4;
"8 jul 2020";5;
"9 jul 2020";4;
"10 jul 2020";4;
"11 jul 2020";1;
"12 jul 2020";2;
"13 jul 2020";4;
"14 jul 2020";5;
"15 jul 2020";2;
"16 jul 2020";2;
"17 jul 2020";5;
"18 jul 2020";6;
"19 jul 2020";8;
"20 jul 2020";3;
"21 jul 2020";5;
"22 jul 2020";4;
"23 jul 2020";9;
"24 jul 2020";10;
"25 jul 2020";10;
"26 jul 2020";4;
"27 jul 2020";9;
"28 jul 2020";10;
"29 jul 2020";3;
"30 jul 2020";17;
"31 jul 2020";13;
"1 aug 2020";10;
"2 aug 2020";11;
"3 aug 2020";17;
"4 aug 2020";9;
"5 aug 2020";9;
"6 aug 2020";11;
"7 aug 2020";14;
"8 aug 2020";17;
"9 aug 2020";19;
"10 aug 2020";19;
"11 aug 2020";27;
"12 aug 2020";21;
"13 aug 2020";21;
"14 aug 2020";15;
"15 aug 2020";16;
"16 aug 2020";18;
"17 aug 2020";22;
"18 aug 2020";9;
"19 aug 2020";15;
"20 aug 2020";27;
"21 aug 2020";20;
"22 aug 2020";10;
"23 aug 2020";16;
"24 aug 2020";11;
"25 aug 2020";19;
"26 aug 2020";11;
"27 aug 2020";9;
"28 aug 2020";12;
"29 aug 2020";4;
"30 aug 2020";12;
"31 aug 2020";18;
"1 sep 2020";14;
"2 sep 2020";16;
"3 sep 2020";12;
"4 sep 2020";19;
"5 sep 2020";19;
"6 sep 2020";22;
"7 sep 2020";30;
"8 sep 2020";24;
"9 sep 2020";36;
"10 sep 2020";20;
"11 sep 2020";42;
"12 sep 2020";25;
"13 sep 2020";27;
"14 sep 2020";59;
"15 sep 2020";42;
"16 sep 2020";47;
"17 sep 2020";54;
"18 sep 2020";77;
"19 sep 2020";68;
"20 sep 2020";56;
"21 sep 2020";88;
"22 sep 2020";76;
"23 sep 2020";95;
"24 sep 2020";108;
"25 sep 2020";98;
"26 sep 2020";85;
"27 sep 2020";89;
"28 sep 2020";114;
"29 sep 2020";110;
"30 sep 2020";119;
"1 okt 2020";112;
"2 okt 2020";123;
"3 okt 2020";144;
"4 okt 2020";117;
"5 okt 2020";181;
"6 okt 2020";173;
"7 okt 2020";165;
"8 okt 2020";162;
"9 okt 2020";213;
"10 okt 2020";158;
"11 okt 2020";168;
"12 okt 2020";256;
"13 okt 2020";258;
"14 okt 2020";216;
"15 okt 2020";224;
"16 okt 2020";249;
"17 okt 2020";219;
"18 okt 2020";199;
"19 okt 2020";306;
"20 okt 2020";256;
"21 okt 2020";291;
"22 okt 2020";290;
"23 okt 2020";327;
"24 okt 2020";214;
"25 okt 2020";266;
"26 okt 2020";350;
"27 okt 2020";306;
"28 okt 2020";302;
"29 okt 2020";277;
"30 okt 2020";298;
"31 okt 2020";225;
"1 nov 2020";237;
"2 nov 2020";399;
"3 nov 2020";239;
"4 nov 2020";245;
"5 nov 2020";246;
"6 nov 2020";244;
"7 nov 2020";161;
"8 nov 2020";170;
"9 nov 2020";297;
"10 nov 2020";225;
"11 nov 2020";235;
"12 nov 2020";212;
"13 nov 2020";239;
"14 nov 2020";138;
"15 nov 2020";154;
"16 nov 2020";249;
"17 nov 2020";198;
"18 nov 2020";195;
"19 nov 2020";188;
"20 nov 2020";174;
"21 nov 2020";144;
"22 nov 2020";169;
"23 nov 2020";212;
"24 nov 2020";164;
"25 nov 2020";164;
"26 nov 2020";189;
"27 nov 2020";170;
"28 nov 2020";101;
"29 nov 2020";123;
"30 nov 2020";164;
"1 dec 2020";159;
"2 dec 2020";167;
"3 dec 2020";187;
"4 dec 2020";202;
"5 dec 2020";155;
"6 dec 2020";144;
"7 dec 2020";219;
"8 dec 2020";186;
"9 dec 2020";179;
"10 dec 2020";205;
"11 dec 2020";254;
"12 dec 2020";164;
"13 dec 2020";188;
"14 dec 2020";268;
"15 dec 2020";221;
"16 dec 2020";252;
"17 dec 2020";277;
"18 dec 2020";288;
"19 dec 2020";196;
"20 dec 2020";207;
"21 dec 2020";321;
"22 dec 2020";277;
"23 dec 2020";296;
"24 dec 2020";307;
"25 dec 2020";238;
"26 dec 2020";242;
"27 dec 2020";265;
"28 dec 2020";463;
"29 dec 2020";255;
"30 dec 2020";266;
"31 dec 2020";261;
"1 jan 2021";224;
"2 jan 2021";237;
"3 jan 2021";231;
"4 jan 2021";318;
"5 jan 2021";280;
"6 jan 2021";240;
"7 jan 2021";225;
"8 jan 2021";223;
"9 jan 2021";163;
"10 jan 2021";179;
"11 jan 2021";266;
"12 jan 2021";199;
"13 jan 2021";221;
"14 jan 2021";186;
"15 jan 2021";198;
"16 jan 2021";147;
"17 jan 2021";131;
"18 jan 2021";79;
