"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";7;0
"45-49";13;16
"50-54";31;20
"55-59";77;28
"60-64";120;53
"65-69";233;120
"70-74";405;252
"75-79";688;361
"80-84";786;561
"85-89";758;701
"90-94";350;556
"95+";80;251
