"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;0
"29 feb";0;2
"1 mrt";0;1
"2 mrt";0;3
"3 mrt";0;6
"4 mrt";0;4
"5 mrt";0;6
"6 mrt";0;6
"7 mrt";0;13
"8 mrt";0;14
"9 mrt";0;17
"10 mrt";0;19
"11 mrt";0;43
"12 mrt";0;42
"13 mrt";0;64
"14 mrt";0;64
"15 mrt";0;78
"16 mrt";0;122
"17 mrt";0;145
"18 mrt";0;174
"19 mrt";0;240
"20 mrt";0;308
"21 mrt";1;326
"22 mrt";0;288
"23 mrt";2;318
"24 mrt";1;557
"25 mrt";0;495
"26 mrt";0;488
"27 mrt";0;534
"28 mrt";1;483
"29 mrt";1;392
"30 mrt";1;342
"31 mrt";1;494
"1 apr";3;338
"2 apr";11;323
"3 apr";23;307
"4 apr";8;268
"5 apr";3;234
"6 apr";5;204
"7 apr";7;198
"8 apr";22;150
"9 apr";46;71
"10 apr";63;5
"11 apr";0;0
