"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"24 dec";90;11542
"25 dec";47;8555
"26 dec";89;7391
"27 dec";241;6702
"28 dec";2492;5574
"29 dec";8748;980
"30 dec";9442;1
"31 dec";9507;1
"1 jan";6527;0
"2 jan";6339;0
"3 jan";6192;2
"4 jan";5245;3
"5 jan";850;0
