"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";3;1
"40-44";4;0
"45-49";3;6
"50-54";18;12
"55-59";38;15
"60-64";67;32
"65-69";144;67
"70-74";242;139
"75-79";443;206
"80-84";467;300
"85-89";429;301
"90-94";155;233
"95+";37;91
