"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";3;1
"40-44";4;0
"45-49";3;6
"50-54";18;13
"55-59";41;15
"60-64";71;36
"65-69";154;71
"70-74";254;151
"75-79";462;217
"80-84";489;319
"85-89";455;331
"90-94";169;250
"95+";41;103
