"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;13
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;78
"10 mrt";0;137
"11 mrt";0;168
"12 mrt";0;187
"13 mrt";0;222
"14 mrt";0;222
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;372
"18 mrt";0;460
"19 mrt";0;516
"20 mrt";0;697
"21 mrt";0;670
"22 mrt";0;542
"23 mrt";0;620
"24 mrt";0;1125
"25 mrt";0;1051
"26 mrt";0;1053
"27 mrt";0;1179
"28 mrt";0;991
"29 mrt";0;748
"30 mrt";0;809
"31 mrt";0;1130
"1 apr";0;1043
"2 apr";0;1033
"3 apr";0;1227
"4 apr";0;1100
"5 apr";0;859
"6 apr";0;774
"7 apr";0;1090
"8 apr";0;1349
"9 apr";0;1318
"10 apr";0;1399
"11 apr";0;1058
"12 apr";0;827
"13 apr";0;758
"14 apr";0;819
"15 apr";0;1116
"16 apr";0;1174
"17 apr";0;1279
"18 apr";0;997
"19 apr";0;626
"20 apr";0;591
"21 apr";0;713
"22 apr";0;975
"23 apr";0;799
"24 apr";0;664
"25 apr";0;574
"26 apr";0;379
"27 apr";0;175
"28 apr";0;394
"29 apr";0;460
"30 apr";0;505
"1 mei";0;493
"2 mei";0;315
"3 mei";0;175
"4 mei";0;284
"5 mei";0;251
"6 mei";0;303
"7 mei";0;299
"8 mei";0;328
"9 mei";0;251
"10 mei";0;153
"11 mei";0;169
"12 mei";0;218
"13 mei";0;298
"14 mei";0;185
"15 mei";0;210
"16 mei";0;158
"17 mei";0;109
"18 mei";0;104
"19 mei";0;180
"20 mei";0;295
"21 mei";0;194
"22 mei";0;195
"23 mei";0;205
"24 mei";0;151
"25 mei";0;124
"26 mei";0;174
"27 mei";0;190
"28 mei";0;208
"29 mei";0;164
"30 mei";0;170
"31 mei";0;98
"1 jun";0;101
"2 jun";0;122
"3 jun";0;187
"4 jun";0;262
"5 jun";0;224
"6 jun";0;188
"7 jun";0;134
"8 jun";0;157
"9 jun";0;142
"10 jun";0;182
"11 jun";0;207
"12 jun";0;196
"13 jun";0;132
"14 jun";0;147
"15 jun";0;130
"16 jun";0;120
"17 jun";1;135
"18 jun";0;84
"19 jun";0;103
"20 jun";0;98
"21 jun";0;56
"22 jun";0;71
"23 jun";0;77
"24 jun";0;111
"25 jun";0;82
"26 jun";0;69
"27 jun";0;80
"28 jun";0;68
"29 jun";0;49
"30 jun";0;58
"1 jul";0;74
"2 jul";1;74
"3 jul";0;59
"4 jul";2;76
"5 jul";6;35
"6 jul";23;7
"7 jul";5;0
