"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";2;0
"30-34";0;1
"35-39";1;1
"40-44";2;0
"45-49";2;5
"50-54";8;9
"55-59";23;12
"60-64";48;21
"65-69";104;50
"70-74";170;91
"75-79";319;140
"80-84";357;203
"85-89";309;204
"90-94";104;142
"95+";17;49
