"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;77
"10 mrt";0;137
"11 mrt";0;169
"12 mrt";0;187
"13 mrt";0;221
"14 mrt";0;222
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;373
"18 mrt";0;462
"19 mrt";0;517
"20 mrt";0;698
"21 mrt";0;670
"22 mrt";0;542
"23 mrt";0;621
"24 mrt";0;1126
"25 mrt";0;1053
"26 mrt";0;1055
"27 mrt";0;1185
"28 mrt";0;993
"29 mrt";2;749
"30 mrt";1;809
"31 mrt";0;1131
"1 apr";0;1043
"2 apr";0;1034
"3 apr";0;1230
"4 apr";1;1099
"5 apr";0;858
"6 apr";0;777
"7 apr";0;1089
"8 apr";0;1352
"9 apr";0;1317
"10 apr";6;1394
"11 apr";0;1063
"12 apr";0;825
"13 apr";0;756
"14 apr";0;820
"15 apr";0;1115
"16 apr";0;1176
"17 apr";0;1281
"18 apr";0;995
"19 apr";0;625
"20 apr";0;598
"21 apr";0;713
"22 apr";1;979
"23 apr";0;803
"24 apr";0;663
"25 apr";0;576
"26 apr";0;380
"27 apr";0;171
"28 apr";0;398
"29 apr";0;457
"30 apr";0;505
"1 mei";0;491
"2 mei";0;314
"3 mei";0;175
"4 mei";1;280
"5 mei";3;249
"6 mei";18;288
"7 mei";224;28
"8 mei";15;0
