"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";2;1
"35-39";5;2
"40-44";5;0
"45-49";8;14
"50-54";24;18
"55-59";70;23
"60-64";103;49
"65-69";200;109
"70-74";359;230
"75-79";629;325
"80-84";698;488
"85-89";660;594
"90-94";293;456
"95+";72;202
