"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";6;0
"45-49";9;15
"50-54";27;20
"55-59";75;24
"60-64";112;52
"65-69";220;114
"70-74";384;243
"75-79";660;345
"80-84";741;525
"85-89";714;665
"90-94";323;510
"95+";75;231
