"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";5;0
"45-49";9;14
"50-54";27;20
"55-59";75;24
"60-64";111;51
"65-69";216;113
"70-74";379;242
"75-79";654;338
"80-84";734;516
"85-89";704;655
"90-94";318;497
"95+";75;224
