"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";0;113
"26 mrt";0;126
"27 mrt";0;112
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";0;174
"1 apr";0;161
"2 apr";0;172
"3 apr";0;166
"4 apr";1;166
"5 apr";0;156
"6 apr";0;165
"7 apr";0;148
"8 apr";0;148
"9 apr";1;113
"10 apr";0;148
"11 apr";0;138
"12 apr";0;143
"13 apr";0;129
"14 apr";0;129
"15 apr";0;119
"16 apr";0;127
"17 apr";0;120
"18 apr";0;116
"19 apr";0;110
"20 apr";0;92
"21 apr";1;121
"22 apr";0;112
"23 apr";0;99
"24 apr";0;88
"25 apr";1;69
"26 apr";1;70
"27 apr";0;69
"28 apr";2;64
"29 apr";0;52
"30 apr";0;57
"1 mei";5;31
"2 mei";10;9
"3 mei";4;0
"4 mei";0;0
