"Leeftijdsgroep";"Man";"Vrouw"
"0-4";1;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";2;0
"25-29";4;1
"30-34";4;2
"35-39";11;5
"40-44";14;2
"45-49";29;22
"50-54";60;40
"55-59";115;53
"60-64";200;107
"65-69";394;219
"70-74";816;466
"75-79";1336;738
"80-84";1658;1205
"85-89";1689;1559
"90-94";851;1267
"95+";210;583
