"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";2;1
"35-39";5;1
"40-44";5;0
"45-49";7;12
"50-54";19;18
"55-59";65;21
"60-64";99;46
"65-69";193;107
"70-74";342;220
"75-79";617;311
"80-84";670;460
"85-89";628;553
"90-94";275;417
"95+";68;188
