"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;3
"40-44";8;0
"45-49";15;16
"50-54";35;20
"55-59";77;31
"60-64";125;57
"65-69";246;126
"70-74";425;258
"75-79";714;381
"80-84";831;589
"85-89";808;737
"90-94";370;581
"95+";85;263
